miRNA,ERR10658906,ERR10658907,ERR10658908,ERR10658909,ERR10658910,ERR10658911
hsa-miR-18a-3p,4.41,2.75,0.59,2.22,3.18,0.25
hsa-miR-18a-5p,0.42,4.44,1.76,1.48,0.0,1.0
hsa-miR-18b-3p,0.1,0.0,0.2,0.0,0.0,0.25
hsa-miR-18b-5p,0.1,0.21,0.0,0.0,1.59,0.0
hsa-miR-1908-3p,0.0,0.0,4.7,0.0,0.0,0.0
hsa-miR-1908-5p,0.0,0.21,3.53,0.0,0.79,0.0
hsa-miR-1909-3p,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,14.28,32.12,51.74,5.17,0.0,12.03
hsa-miR-190b-5p,0.21,1.9,0.0,0.0,0.0,8.02
hsa-miR-191-3p,0.0,0.21,0.59,0.0,0.0,0.0
hsa-miR-191-5p,270.87,905.21,924.38,632.42,133.4,467.42
hsa-miR-1911-5p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-1914-3p,0.0,0.0,5.49,0.0,0.0,0.0
hsa-miR-1915-3p,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-192-5p,0.63,8.66,5.1,3.69,3.97,2.01
hsa-miR-193a-5p,18.27,65.71,88.58,0.0,0.0,27.82
hsa-miR-193b-3p,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-193b-5p,4.83,6.76,13.52,0.0,0.0,1.75
hsa-miR-194-5p,0.42,2.75,0.0,0.0,0.0,0.5
hsa-miR-195-5p,0.0,0.0,0.0,0.74,0.0,0.0
hsa-miR-196a-5p,1.05,1.27,5.88,4.43,7.15,2.26
hsa-miR-196b-5p,0.94,3.59,4.12,6.65,7.94,2.01
hsa-miR-197-3p,16.17,25.36,34.1,5.91,5.56,5.51
hsa-miR-197-5p,0.0,0.21,0.2,0.0,0.0,0.25
hsa-miR-199a-3p,0.42,107.76,123.85,39.16,0.79,79.95
hsa-miR-199a-5p,0.0,9.09,0.0,0.0,0.0,0.25
hsa-miR-199b-3p,7.35,67.19,4.12,1.48,0.0,7.52
hsa-miR-199b-5p,2.41,3.59,2.16,0.0,0.0,12.28
hsa-miR-19a-3p,2.62,6.55,5.88,2.96,3.18,0.25
hsa-miR-19b-1-5p,0.0,0.21,5.29,0.0,0.79,0.0
hsa-miR-19b-3p,17.11,35.71,66.63,7.39,6.35,7.77
hsa-miR-200a-3p,0.0,0.0,0.0,2.96,0.0,0.0
hsa-miR-200c-3p,1.99,0.21,0.2,0.0,0.79,1.5
hsa-miR-203a-3p,45.04,8.66,0.2,0.0,3735.27,38.85
hsa-miR-204-3p,0.0,1.9,0.0,0.0,0.0,0.0
hsa-miR-204-5p,16.69,29.79,17.83,125.6,36.53,20.8
hsa-miR-205-5p,75.38,19.86,40.37,87.92,578.08,98.75
hsa-miR-206,101.0,1710.27,1545.0,350.94,188.19,258.65
hsa-miR-20a-3p,0.1,0.21,0.0,0.0,0.0,0.0
hsa-miR-20a-5p,9.66,36.98,23.52,17.73,57.17,15.29
hsa-miR-20b-5p,1.05,4.44,1.76,7.39,7.94,1.75
hsa-miR-21-3p,1.68,17.75,15.09,0.0,0.0,7.27
hsa-miR-21-5p,758.54,6617.53,5540.58,4802.28,2756.98,2275.72
hsa-miR-210-3p,6.51,7.18,5.68,1.48,0.79,7.27
hsa-miR-210-5p,3.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,0.42,0.42,0.2,0.0,0.79,5.01
hsa-miR-2116-3p,3.57,0.0,0.2,0.0,0.0,4.76
hsa-miR-212-3p,0.0,0.0,4.31,0.0,0.0,0.0
hsa-miR-212-5p,2.52,5.92,5.29,0.0,0.0,0.0
hsa-miR-214-3p,2.2,2.96,0.0,0.0,0.0,0.0
hsa-miR-216a-5p,3.78,3.8,0.78,0.74,3.18,0.5
hsa-miR-216b-3p,0.21,0.0,0.39,0.0,1.59,0.0
hsa-miR-216b-5p,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-217-5p,4.41,4.86,4.9,3.69,1.59,0.75
hsa-miR-218-2-3p,0.0,0.21,0.0,0.0,0.0,0.0
