miRNA,GSM1712353,GSM1712354
hsa-miR-320b,161.39,1.49
hsa-miR-320c,17.54,0.0
hsa-miR-320d,22.81,0.0
hsa-miR-323a-3p,166.65,0.0
hsa-miR-323a-5p,1.75,0.0
hsa-miR-323b-3p,5.26,0.0
hsa-miR-324-3p,9.65,0.0
hsa-miR-324-5p,7.89,0.0
hsa-miR-326,0.88,0.0
hsa-miR-329-3p,73.68,0.0
hsa-miR-330-3p,5.26,0.99
hsa-miR-331-3p,3.51,0.0
hsa-miR-331-5p,4.39,0.5
hsa-miR-335-3p,5.26,0.0
hsa-miR-335-5p,760.47,0.5
hsa-miR-337-3p,239.46,0.0
hsa-miR-337-5p,13.16,0.0
hsa-miR-339-3p,5.26,0.0
hsa-miR-339-5p,150.87,5.45
hsa-miR-33a-3p,2.63,0.0
hsa-miR-33a-5p,2.63,0.0
hsa-miR-33b-5p,1.75,0.0
hsa-miR-340-3p,2.63,0.0
hsa-miR-340-5p,7.89,0.99
hsa-miR-342-3p,88.59,0.99
hsa-miR-342-5p,1.75,0.0
hsa-miR-345-5p,7.02,0.5
hsa-miR-346,0.0,0.5
hsa-miR-34a-3p,36.84,0.0
hsa-miR-34a-5p,906.95,5.45
hsa-miR-34b-3p,3.51,0.0
hsa-miR-34c-5p,1.75,0.0
hsa-miR-3605-5p,3.51,0.0
hsa-miR-3606-3p,0.88,0.0
hsa-miR-361-3p,27.19,0.0
hsa-miR-361-5p,60.52,0.99
hsa-miR-3615,1.75,0.0
hsa-miR-3617-5p,2.63,0.0
hsa-miR-362-3p,0.88,0.0
hsa-miR-362-5p,1.75,0.0
hsa-miR-3620-3p,0.0,0.5
hsa-miR-3648,58.77,5.95
hsa-miR-3654,0.88,0.99
hsa-miR-365a-3p,257.0,0.0
hsa-miR-365a-5p,0.88,0.0
hsa-miR-365b-3p,67.54,0.0
hsa-miR-365b-5p,5.26,0.0
hsa-miR-3665,54.38,31.73
hsa-miR-3677-3p,0.88,0.0
hsa-miR-369-3p,78.06,0.0
hsa-miR-369-5p,57.01,0.0
hsa-miR-370-3p,24.56,0.0
hsa-miR-374a-5p,9.65,0.0
hsa-miR-374b-3p,1.75,0.0
hsa-miR-374b-5p,14.91,0.5
hsa-miR-375-3p,0.88,0.0
hsa-miR-376a-2-5p,25.44,0.0
hsa-miR-376a-3p,226.3,0.0
hsa-miR-376a-5p,19.3,0.0
hsa-miR-376b-3p,20.17,0.5
hsa-miR-376b-5p,12.28,0.0
hsa-miR-376c-3p,684.16,0.99
hsa-miR-376c-5p,4.39,0.0
hsa-miR-377-3p,12.28,0.0
hsa-miR-377-5p,7.89,0.0
hsa-miR-378a-3p,30.7,16.85
hsa-miR-378a-5p,2.63,0.0
hsa-miR-378c,0.0,5.45
hsa-miR-378d,0.88,0.0
hsa-miR-379-3p,9.65,0.0
hsa-miR-379-5p,76.31,0.0
hsa-miR-380-3p,45.61,0.0
hsa-miR-380-5p,0.88,0.0
hsa-miR-381-3p,30.7,0.0
hsa-miR-381-5p,10.53,0.0
hsa-miR-382-3p,45.61,0.0
hsa-miR-382-5p,293.84,0.0
hsa-miR-3909,0.88,0.0
hsa-miR-3916,0.0,0.5
hsa-miR-3928-3p,0.88,0.0
hsa-miR-3929,7.02,1.98
hsa-miR-3940-5p,1.75,0.0
hsa-miR-3960,165.78,185.39
hsa-miR-409-3p,331.55,0.99
hsa-miR-409-5p,54.38,0.0
hsa-miR-410-3p,14.91,0.0
hsa-miR-411-3p,24.56,0.0
hsa-miR-411-5p,47.36,0.0
hsa-miR-412-3p,8.77,0.0
hsa-miR-412-5p,13.16,0.0
hsa-miR-421,9.65,0.5
hsa-miR-423-3p,117.53,7.44
hsa-miR-423-5p,104.38,5.95
hsa-miR-424-3p,59.64,0.0
hsa-miR-424-5p,247.35,4.46
hsa-miR-425-3p,6.14,0.5
hsa-miR-425-5p,185.95,9.42
hsa-miR-4279,10.53,2.97
hsa-miR-4286,538.56,0.99
hsa-miR-4306,4.39,0.0
hsa-miR-431-3p,1.75,0.0
hsa-miR-431-5p,52.63,0.0
hsa-miR-432-3p,0.88,0.0
hsa-miR-432-5p,107.01,0.0
hsa-miR-4326,1.75,0.0
hsa-miR-433-3p,45.61,0.0
hsa-miR-433-5p,1.75,0.0
hsa-miR-4466,1.75,0.0
hsa-miR-4470,0.88,0.0
hsa-miR-4484,1.75,0.0
hsa-miR-4485-3p,2.63,0.5
hsa-miR-4488,52.63,10.91
hsa-miR-4492,25.44,12.39
hsa-miR-4497,27.19,13.88
hsa-miR-449a,1.75,0.0
hsa-miR-4508,8.77,7.44
hsa-miR-450a-1-3p,0.88,0.0
hsa-miR-450a-2-3p,0.88,0.0
hsa-miR-450a-5p,11.4,0.0
hsa-miR-450b-5p,28.07,0.5
hsa-miR-4516,14.91,10.41
hsa-miR-451a,1337.62,236.95
hsa-miR-452-3p,0.88,0.0
hsa-miR-452-5p,8.77,0.0
hsa-miR-454-3p,12.28,0.5
hsa-miR-454-5p,4.39,0.0
hsa-miR-455-3p,193.85,0.99
hsa-miR-455-5p,3.51,0.0
hsa-miR-4667-5p,0.88,0.0
hsa-miR-4689,0.88,0.0
hsa-miR-4705,0.88,0.0
hsa-miR-4707-3p,0.88,0.0
hsa-miR-4715-5p,0.0,0.5
hsa-miR-4725-3p,0.88,0.0
hsa-miR-4763-3p,4.39,6.94
hsa-miR-4786-5p,0.0,0.5
hsa-miR-4791,0.0,2.97
hsa-miR-483-3p,28.07,0.0
hsa-miR-483-5p,30.7,0.0
hsa-miR-484,238.58,3.47
hsa-miR-485-3p,90.34,0.0
hsa-miR-485-5p,13.16,0.0
hsa-miR-486-5p,0.0,2.97
hsa-miR-487a-3p,9.65,0.0
hsa-miR-487a-5p,6.14,0.0
hsa-miR-487b-3p,67.54,0.5
hsa-miR-487b-5p,4.39,0.0
hsa-miR-489-3p,21.93,0.0
hsa-miR-490-3p,1.75,0.0
hsa-miR-490-5p,0.88,0.0
hsa-miR-491-3p,0.88,0.0
hsa-miR-491-5p,1.75,0.0
hsa-miR-493-3p,23.68,0.0
hsa-miR-493-5p,124.55,0.0
hsa-miR-494-3p,292.96,0.5
hsa-miR-494-5p,0.88,0.0
hsa-miR-495-3p,159.64,0.0
hsa-miR-495-5p,2.63,0.0
hsa-miR-496,34.21,0.0
hsa-miR-497-5p,1.75,0.5
hsa-miR-500a-3p,8.77,0.0
hsa-miR-500a-5p,1.75,0.99
hsa-miR-500b-3p,0.88,0.0
hsa-miR-500b-5p,2.63,0.0
hsa-miR-501-3p,9.65,0.99
hsa-miR-501-5p,0.88,0.0
hsa-miR-502-3p,5.26,0.5
hsa-miR-503-3p,3.51,0.0
hsa-miR-503-5p,276.29,0.99
hsa-miR-505-3p,21.93,0.99
hsa-miR-505-5p,9.65,0.0
hsa-miR-520a-3p,1.75,0.0
hsa-miR-532-3p,9.65,0.0
hsa-miR-532-5p,5.26,0.0
hsa-miR-539-3p,0.88,0.0
hsa-miR-539-5p,40.35,0.0
hsa-miR-541-5p,1.75,0.0
hsa-miR-542-3p,14.03,0.99
hsa-miR-542-5p,7.02,0.5
hsa-miR-543,86.84,0.0
hsa-miR-545-5p,3.51,0.0
hsa-miR-548ak,0.0,0.5
hsa-miR-548ao-5p,0.88,0.0
hsa-miR-548e-3p,1.75,0.0
hsa-miR-548k,0.0,0.99
hsa-miR-548q,0.88,0.0
hsa-miR-548w,1.75,0.99
hsa-miR-550a-3p,6.14,0.99
hsa-miR-551b-3p,1.75,0.0
hsa-miR-5582-3p,0.88,0.0
hsa-miR-561-5p,0.88,0.0
hsa-miR-5703,0.88,0.0
hsa-miR-5708,0.0,0.99
hsa-miR-574-3p,372.78,0.5
hsa-miR-574-5p,216.65,1.49
hsa-miR-576-5p,7.89,0.5
hsa-miR-579-3p,0.88,0.0
hsa-miR-579-5p,0.88,0.0
hsa-miR-582-5p,9.65,0.0
hsa-miR-584-5p,1.75,0.0
hsa-miR-589-3p,0.88,0.0
hsa-miR-589-5p,0.0,0.99
hsa-miR-590-3p,15.79,0.99
hsa-miR-590-5p,9.65,3.97
hsa-miR-598-3p,4.39,0.0
hsa-miR-605-5p,0.88,0.0
hsa-miR-610,0.88,0.0
hsa-miR-615-3p,39.47,0.5
hsa-miR-615-5p,0.88,0.0
hsa-miR-619-5p,0.88,0.0
hsa-miR-624-5p,0.88,0.99
hsa-miR-625-3p,17.54,0.0
hsa-miR-625-5p,6.14,1.49
hsa-miR-627-3p,0.88,0.0
hsa-miR-627-5p,0.88,0.0
hsa-miR-628-5p,2.63,0.0
hsa-miR-629-3p,4.39,0.0
hsa-miR-629-5p,24.56,0.5
hsa-miR-641,0.88,0.0
hsa-miR-6505-3p,0.88,0.0
hsa-miR-6511b-3p,0.88,0.0
hsa-miR-6516-3p,0.0,0.5
hsa-miR-652-3p,5.26,1.49
hsa-miR-652-5p,3.51,0.0
hsa-miR-6529-5p,6.14,0.0
hsa-miR-654-3p,89.47,0.0
hsa-miR-654-5p,21.05,0.0
hsa-miR-655-3p,25.44,0.0
hsa-miR-656-3p,46.49,0.0
hsa-miR-660-3p,1.75,0.0
hsa-miR-660-5p,83.33,2.97
hsa-miR-663a,9.65,0.99
hsa-miR-663b,2.63,0.5
hsa-miR-664a-3p,11.4,0.0
hsa-miR-664a-5p,2.63,0.0
hsa-miR-664b-3p,1.75,0.0
hsa-miR-665,8.77,0.0
hsa-miR-668-3p,1.75,0.0
hsa-miR-671-5p,23.68,0.0
hsa-miR-6724-5p,1.75,0.0
hsa-miR-675-5p,0.88,0.0
hsa-miR-6763-5p,0.88,0.0
hsa-miR-6786-3p,10.53,0.0
hsa-miR-6797-3p,0.88,0.0
hsa-miR-6820-5p,0.88,0.0
hsa-miR-6822-5p,0.88,0.0
hsa-miR-6832-5p,0.88,0.0
hsa-miR-6855-3p,0.88,0.0
hsa-miR-6855-5p,0.88,0.0
hsa-miR-6869-5p,0.0,0.5
hsa-miR-6876-3p,1.75,0.0
hsa-miR-7-1-3p,4.39,0.99
hsa-miR-7-5p,20.17,10.91
hsa-miR-708-3p,0.88,0.0
hsa-miR-708-5p,70.17,0.0
hsa-miR-7110-3p,78.06,36.68
hsa-miR-7111-3p,0.88,0.0
hsa-miR-7112-3p,0.88,0.0
hsa-miR-7150,0.0,0.5
hsa-miR-744-3p,0.88,0.0
hsa-miR-744-5p,18.42,2.48
hsa-miR-758-3p,11.4,0.0
hsa-miR-758-5p,0.88,0.0
hsa-miR-766-3p,18.42,0.0
hsa-miR-769-3p,1.75,0.0
hsa-miR-769-5p,26.31,1.98
hsa-miR-770-5p,0.88,0.0
hsa-miR-7704,24.56,5.45
hsa-miR-873-5p,1.75,0.0
hsa-miR-876-5p,0.88,0.0
hsa-miR-877-3p,1.75,0.0
hsa-miR-887-3p,20.17,0.0
hsa-miR-889-3p,31.58,0.0
hsa-miR-9-3p,0.88,1.49
hsa-miR-9-5p,0.0,0.5
hsa-miR-922,1.75,0.0
hsa-miR-92a-1-5p,3.51,0.0
hsa-miR-92a-3p,485.93,43.62
hsa-miR-92b-3p,80.7,0.0
hsa-miR-92b-5p,0.88,0.0
hsa-miR-93-3p,16.67,0.99
hsa-miR-93-5p,428.04,26.27
hsa-miR-935,9.65,0.5
hsa-miR-940,4.39,0.0
hsa-miR-941,4.39,0.0
hsa-miR-942-5p,0.88,0.0
hsa-miR-96-5p,0.0,0.5
hsa-miR-98-3p,4.39,0.0
hsa-miR-98-5p,87.71,0.99
hsa-miR-9901,0.88,0.0
hsa-miR-99a-5p,101.75,2.97
hsa-miR-99b-3p,17.54,0.0
hsa-miR-99b-5p,547.33,4.96
hsa-mir-12121-5p,0.0,0.99
hsa-mir-12136-5p,7.02,7.93
hsa-mir-1234-3p,0.0,0.5
hsa-mir-1248-5p,0.88,0.5
hsa-mir-1255a-5p,0.88,0.0
hsa-mir-1267-5p,0.88,0.0
hsa-mir-1291-5p,1.75,0.5
hsa-mir-1303-3p,10.53,2.97
hsa-mir-153-1-3p,0.88,0.0
hsa-mir-1538-3p,0.88,0.0
hsa-mir-2110-5p,1.75,0.0
hsa-mir-2278-5p,0.88,0.0
hsa-mir-3159-5p,0.0,0.5
hsa-mir-3195-5p,0.0,0.5
hsa-mir-3648-1-5p,75.43,3.97
hsa-mir-3648-2-5p,178.06,3.47
hsa-mir-4449-3p,0.0,0.5
hsa-mir-4452-3p,0.0,0.5
hsa-mir-4460-5p,1.75,0.0
hsa-mir-543-3p,2.63,0.0
hsa-mir-544a-3p,0.88,0.0
hsa-mir-548n-5p,0.0,0.5
hsa-mir-558-3p,0.88,0.0
hsa-mir-639-3p,1.75,0.0
hsa-mir-663a-5p,33.33,7.93
hsa-mir-663b-3p,0.0,0.5
hsa-mir-665-3p,0.88,0.0
