miRNA,GSM4647569,GSM4647570,GSM4647571,GSM4647572,GSM4647573,GSM4647574,GSM4647575,GSM4647576,GSM4647577,GSM4647578,GSM4647579
hsa-miR-4487,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4504,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,3.88
hsa-miR-4511,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0
hsa-miR-451a,1749.27,1349.67,20.78,23.43,81.15,499.38,524.43,7.73,17.73,189.87,22.01
hsa-miR-452-3p,5.39,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4526,0.0,1.24,0.69,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-4529-3p,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4540,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4635,0.0,0.0,0.0,0.0,0.0,6.97,0.0,0.0,5.21,0.0,1.29
hsa-miR-4644,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4653-3p,0.0,0.0,0.0,3.35,2.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4654,0.0,0.0,0.0,2.23,0.0,0.58,0.0,0.0,0.0,0.0,1.29
hsa-miR-4660,0.0,0.0,4.16,0.0,2.66,0.0,0.0,0.0,0.0,7.32,0.0
hsa-miR-4667-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,7.77
hsa-miR-4685-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-4686,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-miR-4687-5p,4.04,1.86,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0
hsa-miR-4688,0.0,0.0,0.0,3.35,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,3.14,0.0
hsa-miR-4714-3p,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-4716-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4725-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88
hsa-miR-4727-5p,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4732-3p,0.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-4732-5p,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-miR-4738-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-4766-3p,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,2.62,0.0
hsa-miR-4766-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65
hsa-miR-4781-5p,0.0,3.09,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0
hsa-miR-4800-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4804-3p,1.35,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-483-3p,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-483-5p,56.56,0.0,23.56,2.23,0.0,5.23,18.76,0.0,40.66,4.18,0.0
hsa-miR-484,164.29,202.98,126.09,184.11,235.48,96.39,74.19,59.72,23.98,127.1,111.32
hsa-miR-485-3p,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-485-5p,0.0,0.62,0.0,1.12,0.0,0.0,0.0,0.0,0.0,2.09,0.0
hsa-miR-486-3p,4.04,5.57,2.77,1.12,0.67,1.74,1.71,0.0,6.26,0.0,0.0
hsa-miR-486-5p,0.0,2.48,203.68,129.43,69.85,156.78,0.85,22.48,1.04,41.84,677.01
hsa-miR-491-5p,2.69,1.24,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.52,1.29
hsa-miR-497-5p,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,1.29
hsa-miR-499a-5p,0.0,2.48,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5000-3p,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5003-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5006-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18
hsa-miR-5008-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-500a-3p,0.0,0.0,0.0,0.0,1.33,0.58,0.0,0.0,0.0,1.57,0.0
hsa-miR-500b-3p,0.0,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-501-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,1.05,1.29
hsa-miR-501-5p,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5010-3p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5010-5p,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-502-3p,0.0,0.62,0.0,5.58,0.0,1.16,1.71,0.0,0.0,0.52,0.0
hsa-miR-503-5p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-miR-5094,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0
hsa-miR-511-5p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-516b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-5187-5p,20.2,2.48,17.32,4.46,15.96,16.84,35.81,5.62,29.19,26.68,10.36
hsa-miR-5189-5p,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-518a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74,0.0
hsa-miR-518c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0
hsa-miR-518e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0
hsa-miR-5192,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,2.09,5.18
hsa-miR-520a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-520d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,7.85,0.0
hsa-miR-532-3p,0.0,11.76,0.0,2.23,0.67,0.58,4.26,0.0,0.0,0.52,2.59
hsa-miR-541-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59
hsa-miR-542-3p,4.04,0.0,2.77,5.58,3.33,2.32,5.12,0.0,6.26,2.62,3.88
hsa-miR-542-5p,0.0,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-544b,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-545-5p,2.69,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548aa,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ad-5p,28.28,52.6,13.16,5.58,6.65,11.61,5.97,0.0,115.74,6.28,3.88
