miRNA,GSM4647569,GSM4647570,GSM4647571,GSM4647572,GSM4647573,GSM4647574,GSM4647575,GSM4647576,GSM4647577,GSM4647578,GSM4647579
hsa-miR-6833-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0
hsa-miR-6835-5p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6850-5p,5.39,4.33,2.77,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0
hsa-miR-6852-5p,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6865-3p,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6883-3p,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-miR-6884-5p,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,1.29
hsa-miR-7-5p,9.43,0.0,0.0,0.0,7.32,2.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-708-5p,0.0,3.09,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-7110-3p,0.0,6.81,3.46,8.93,3.99,2.9,0.0,0.0,0.0,1.57,0.0
hsa-miR-744-5p,20.2,38.99,25.63,42.4,47.89,29.03,28.14,13.35,93.84,54.4,45.31
hsa-miR-758-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0
hsa-miR-760,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-miR-769-3p,1.35,3.09,0.0,7.81,5.32,0.0,1.71,4.92,0.0,5.23,10.36
hsa-miR-769-5p,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-7850-5p,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,4.17,2.09,0.0
hsa-miR-7851-3p,0.0,0.0,0.0,1.12,0.0,5.81,0.0,0.0,0.0,5.23,0.0
hsa-miR-7854-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-8485,0.0,3.09,2.77,3.35,5.99,4.06,0.0,5.62,0.0,2.09,2.59
hsa-miR-873-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0
hsa-miR-874-3p,0.0,0.0,0.0,0.0,7.98,2.9,0.0,0.0,4.17,0.0,0.0
hsa-miR-874-5p,0.0,6.19,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-885-3p,0.0,0.0,6.93,0.0,2.66,0.0,0.0,0.0,8.34,0.52,7.77
hsa-miR-885-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0
hsa-miR-9-3p,0.0,13.61,2.08,5.58,5.32,4.06,0.0,0.0,9.38,3.66,3.88
hsa-miR-92a-3p,242.39,490.11,173.2,185.23,419.74,174.78,223.41,141.23,95.92,186.73,418.11
hsa-miR-92b-3p,1.35,0.62,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.52,0.0
hsa-miR-92b-5p,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-93-3p,0.0,0.0,0.69,0.0,3.33,0.58,0.0,0.0,1.04,0.0,3.88
hsa-miR-93-5p,53.87,48.27,13.16,44.63,24.61,27.29,13.64,3.51,12.51,16.74,24.59
hsa-miR-934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0
hsa-miR-937-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-miR-939-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,2.59
hsa-miR-941,8.08,9.28,2.08,0.0,9.98,4.06,0.0,0.0,0.0,2.09,0.0
hsa-miR-942-5p,0.0,4.95,0.0,3.35,2.0,0.0,0.0,0.0,0.0,0.0,3.88
hsa-miR-98-5p,0.0,0.0,0.0,0.0,2.66,0.0,4.26,0.0,0.0,2.09,0.0
hsa-miR-9983-3p,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-99a-3p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-99a-5p,2.69,0.0,4.16,4.46,2.66,0.0,3.41,0.0,7.3,0.0,0.0
hsa-miR-99b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29
hsa-miR-99b-5p,8.08,0.0,5.54,0.0,2.66,6.97,19.61,0.0,6.26,3.14,2.59
hsa-mir-11399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-mir-12113-5p,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-12115-5p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-12136-5p,0.0,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0
hsa-mir-1255a-5p,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1268a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
hsa-mir-1273c-5p,2.69,9.9,6.24,13.39,4.66,6.97,5.12,0.0,4.17,4.71,1.29
hsa-mir-1284-5p,2.69,2.48,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0
hsa-mir-1291-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-mir-298-5p,0.0,0.0,0.0,0.0,3.33,8.13,0.0,6.32,0.0,0.0,0.0
hsa-mir-3135a-5p,0.0,0.0,0.0,0.0,3.99,8.13,0.85,0.0,2.09,0.0,5.18
hsa-mir-3135b-5p,0.0,3.71,13.16,5.58,4.66,6.97,0.0,0.0,0.0,14.12,18.12
hsa-mir-3155a-3p,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,3.14,0.0
hsa-mir-3159-5p,6.73,0.0,11.08,6.69,4.66,0.0,0.0,0.0,0.0,17.78,0.0
hsa-mir-3196-5p,0.0,0.0,0.0,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3199-2-5p,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-326-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0
hsa-mir-3615-3p,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0
hsa-mir-3648-1-5p,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0
hsa-mir-3919-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-mir-3929-3p,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,1.57,0.0
