miRNA,SRR21314445,SRR21314444,SRR21314443,SRR21314442,SRR21314441,SRR21314440,SRR21314439,SRR21314438,SRR21314437
hsa-miR-4444,0.0,0.0,0.28,0.0,0.0,0.24,0.3,0.26,0.0
hsa-miR-4467,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4485-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-4488,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4497,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-4516,0.33,0.73,0.0,0.68,0.28,0.73,0.0,0.26,1.02
hsa-miR-451a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-452-3p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4537,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-455-5p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4640-5p,0.0,0.36,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-4674,0.0,0.0,1.11,0.0,0.84,0.0,0.3,0.51,0.0
hsa-miR-4716-3p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4755-3p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4791,0.33,1.09,0.28,0.0,0.28,0.97,0.6,1.03,1.71
hsa-miR-484,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
hsa-miR-5006-5p,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-503-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-5187-5p,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-542-3p,0.0,0.0,0.0,0.0,0.28,0.0,0.3,0.0,0.0
hsa-miR-557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-584-5p,0.0,0.0,0.0,0.34,0.0,0.24,0.3,0.26,0.34
hsa-miR-614,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
hsa-miR-619-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
hsa-miR-629-5p,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-632,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-654-3p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-658,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.34
hsa-miR-663a,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.26,0.34
hsa-miR-664a-3p,0.33,0.36,0.0,0.0,0.0,0.0,0.6,0.0,0.34
hsa-miR-664a-5p,0.0,0.36,0.56,0.0,0.28,0.24,0.6,0.51,0.34
hsa-miR-664b-5p,0.33,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6720-3p,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.51,0.0
hsa-miR-6756-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
hsa-miR-6777-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
hsa-miR-6787-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
hsa-miR-6839-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
hsa-miR-6867-5p,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
