miRNA,SRR23949263,SRR23949264,SRR23949265,SRR23949266,SRR23949267,SRR23949268,SRR23949269,SRR23949270,SRR23949271,SRR23949272,SRR23949273,SRR23949274,SRR23949275,SRR23949276,SRR23949277,SRR23949278,SRR23949279,SRR23949280,SRR23949281,SRR23949282,SRR23949283,SRR23949284,SRR23949285,SRR23949286,SRR23949287,SRR23949288,SRR23949289,SRR23949290,SRR23949291,SRR23949292,SRR23949293,SRR23949294
hsa-miR-19a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,7.0,2.0,1.0,9.0,40.0,122.0,18.0,217.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,7.0,7.0,24.0,9.0,43.0,5.0,5.0,19.0,1.0,6.0,10.0,15.0,30.0,5.0,4.0
hsa-miR-200a-3p,0.0,3.0,0.0,2.0,6.0,12.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200a-5p,1.0,0.0,2.0,1.0,52.0,146.0,3.0,116.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,24.0,34.0,0.0,37.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-200b-5p,3.0,6.0,0.0,1.0,689.0,1130.0,71.0,1129.0,2.0,1.0,5.0,3.0,28.0,7.0,2.0,6.0,11.0,1.0,1.0,7.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0,7.0,2.0,5.0
hsa-miR-200c-3p,36.0,24.0,8.0,10.0,36898.0,9446.0,1155.0,27498.0,16.0,43.0,36.0,38.0,1425.0,558.0,139.0,291.0,39.0,27.0,15.0,81.0,26.0,151.0,31.0,55.0,66.0,8.0,19.0,23.0,62.0,219.0,22.0,63.0
hsa-miR-200c-5p,0.0,0.0,0.0,0.0,69.0,49.0,6.0,133.0,1.0,0.0,0.0,1.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-202-3p,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,1.0,5.0,3.0,1.0,2.0,0.0,3.0
hsa-miR-203a-3p,0.0,0.0,0.0,0.0,1.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203b-3p,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-5p,1.0,1.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-205-5p,0.0,0.0,0.0,0.0,19.0,108.0,6.0,175.0,2.0,0.0,0.0,1.0,19.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-206,348.0,36.0,124.0,93.0,152.0,14.0,305.0,29.0,9.0,9.0,4.0,6.0,0.0,0.0,0.0,0.0,304.0,100.0,31.0,209.0,63.0,111.0,65.0,36.0,315.0,57.0,70.0,131.0,132.0,271.0,123.0,101.0
hsa-miR-20a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-20a-5p,2.0,0.0,0.0,2.0,2.0,3.0,2.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,8.0,2.0,3.0,1.0,0.0,2.0,3.0,5.0,15.0,3.0,3.0
hsa-miR-20b-5p,1.0,0.0,0.0,0.0,1.0,8.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0
hsa-miR-21-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-21-5p,44.0,21.0,16.0,19.0,454.0,1287.0,397.0,1397.0,38.0,42.0,72.0,10.0,11.0,6.0,3.0,3.0,66.0,20.0,14.0,29.0,6.0,116.0,12.0,21.0,54.0,18.0,15.0,18.0,38.0,93.0,13.0,19.0
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
hsa-miR-2114-3p,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2115-3p,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,18.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
hsa-miR-2115-5p,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2116-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-214-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-214-5p,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,2.0,1.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,15.0,4.0,4.0,0.0,37.0,10.0,2.0,21.0,4.0,3.0,8.0,20.0,32.0,5.0,6.0
hsa-miR-217-5p,0.0,0.0,0.0,0.0,2.0,18.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,5.0,0.0,1.0,1.0,221.0,112.0,114.0,493.0,23.0,7.0,5.0,4.0,19.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,52.0,0.0,11.0,3.0,0.0,1.0,7.0,7.0,3.0,1.0,0.0
hsa-miR-219a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-22-3p,0.0,2.0,0.0,0.0,23.0,104.0,47.0,41.0,1.0,6.0,18.0,5.0,1.0,0.0,1.0,0.0,9.0,4.0,6.0,8.0,0.0,19.0,5.0,8.0,1.0,3.0,0.0,4.0,1.0,8.0,1.0,1.0
hsa-miR-22-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,2.0,5.0,1.0,1.0,397.0,1263.0,595.0,689.0,36.0,49.0,101.0,31.0,9.0,1.0,0.0,0.0,4.0,2.0,1.0,14.0,4.0,51.0,5.0,5.0,13.0,3.0,0.0,3.0,13.0,67.0,0.0,21.0
hsa-miR-221-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
