miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-miR-136-3p,5.34,3.2,20.68,0.0,0.0,103.18,41.57,0.0,0.0,12.03,152.66,65.72,33.71,110.9,101.18,203.84,53.73,47.98,45.57,81.81,20.48,108.3,69.61,70.69,0.0,89.55,25.12,159.42,47.07,14.25,182.93
hsa-miR-136-5p,5.34,0.0,0.0,0.0,0.0,51.59,20.78,0.0,14.61,0.0,24.62,26.29,3.37,0.0,0.0,20.38,0.0,0.0,45.57,0.0,8.78,0.0,23.2,23.56,0.0,0.0,0.0,31.88,15.69,14.25,47.08
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-138-5p,0.0,0.0,0.0,0.0,0.0,0.0,20.78,0.0,0.0,0.0,0.0,19.71,0.0,0.0,0.0,20.38,0.0,0.0,0.0,11.69,5.85,0.0,5.8,7.85,0.0,0.0,0.0,0.0,15.69,0.0,4.04
hsa-miR-139-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.97,0.0,0.0,0.0,0.0,0.0,11.69,0.0,0.0,0.0,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-5p,10.69,12.81,12.41,13.56,0.0,103.18,20.78,0.0,0.0,0.0,4.92,72.29,23.6,0.0,0.0,0.0,26.87,12.0,0.0,0.0,8.78,23.21,29.0,15.71,0.0,89.55,0.0,31.88,15.69,14.25,26.9
hsa-miR-140-3p,673.3,598.92,603.86,718.71,444.75,722.28,644.29,309.26,745.15,324.86,472.76,1156.6,741.73,369.67,404.71,794.96,913.46,431.83,546.9,420.75,438.86,440.92,725.12,801.15,461.05,895.46,627.94,924.63,643.24,555.8,577.04
hsa-miR-140-5p,0.0,0.0,8.27,0.0,0.0,0.0,20.78,0.0,0.0,0.0,4.92,0.0,16.86,36.97,0.0,20.38,26.87,0.0,0.0,11.69,2.93,7.74,17.4,15.71,0.0,0.0,25.12,0.0,15.69,0.0,6.73
hsa-miR-141-3p,10.69,12.81,49.63,54.24,0.0,309.55,124.7,92.78,160.72,60.16,128.04,216.86,134.86,36.97,505.89,387.29,134.33,12.0,227.87,303.88,394.97,92.83,92.82,164.94,33.74,223.86,100.47,350.72,172.58,413.29,3446.12
hsa-miR-142-3p,48.09,32.03,33.09,13.56,49.42,51.59,103.92,61.85,73.05,60.16,177.28,203.72,87.66,0.0,50.59,305.75,53.73,23.99,45.57,58.44,5.85,85.09,145.02,251.34,0.0,134.32,50.23,95.65,94.13,42.75,24.21
hsa-miR-142-5p,7972.77,6777.08,11183.81,10400.99,7412.53,14394.06,17686.79,5195.61,12988.91,3898.35,14773.74,25576.66,16284.34,8095.82,15328.58,16490.35,11982.48,7041.24,7018.5,10343.5,6395.59,13173.47,19763.9,18677.79,4138.18,17730.02,17280.79,22733.07,15829.93,15405.66,16143.76
hsa-miR-143-3p,881.71,948.02,1397.98,1301.82,3607.43,2218.44,5279.02,587.6,3491.96,1143.04,1295.16,10593.42,2397.14,2920.41,4401.27,6176.24,3626.98,863.66,2461.03,2559.58,1661.8,2042.16,4826.41,3400.96,730.93,2775.91,3139.68,6249.2,3796.67,2493.98,4095.8
hsa-miR-143-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-144-3p,2308.47,1415.63,1480.7,1328.94,889.5,2373.21,3595.55,742.23,3331.24,469.25,2807.01,3436.95,2319.59,1330.82,910.61,2140.28,2525.46,2267.11,2233.16,2769.95,1541.85,1547.09,3004.9,2646.94,933.34,6447.28,2034.51,5292.69,2337.62,1368.13,3417.87
hsa-miR-144-5p,662.62,515.65,976.1,637.35,593.0,825.47,1018.39,278.34,1154.25,192.51,817.48,1353.75,970.99,591.48,657.66,917.26,752.26,587.77,319.02,677.88,430.08,1098.43,817.94,989.66,483.54,1701.37,1205.64,1275.35,1098.21,840.83,773.43
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.0,0.0,20.78,0.0,14.61,0.0,0.0,6.57,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,15.71,0.0,0.0,0.0,0.0,15.69,0.0,8.07
hsa-miR-145-5p,5.34,9.61,0.0,0.0,0.0,51.59,41.57,0.0,29.22,0.0,24.62,98.57,6.74,36.97,50.59,61.15,53.73,0.0,136.72,11.69,5.85,23.21,23.2,78.54,11.25,89.55,25.12,0.0,0.0,28.5,30.94
hsa-miR-1468-5p,5.34,6.41,16.54,0.0,49.42,51.59,20.78,61.85,14.61,12.03,19.7,19.71,13.49,73.93,0.0,81.53,0.0,0.0,0.0,35.06,17.55,38.68,29.0,31.42,11.25,0.0,25.12,63.77,15.69,0.0,14.8
hsa-miR-146a-5p,197.72,304.26,115.81,230.53,296.5,206.37,436.45,278.34,365.27,565.5,196.98,1038.31,310.18,998.11,758.84,998.8,349.27,167.93,273.45,210.38,710.95,417.71,226.24,557.66,56.23,313.41,251.17,542.02,235.33,342.03,482.89
hsa-miR-146b-3p,0.0,6.41,4.14,0.0,0.0,103.18,41.57,0.0,29.22,12.03,0.0,32.86,13.49,0.0,50.59,0.0,53.73,0.0,0.0,46.75,8.78,23.21,11.6,7.85,0.0,44.77,25.12,0.0,47.07,71.26,18.83
hsa-miR-146b-5p,64.12,80.07,8.27,0.0,98.83,464.32,41.57,154.63,14.61,36.1,54.17,262.86,53.94,221.8,252.95,468.82,107.47,35.99,0.0,35.06,175.54,100.56,52.21,78.54,0.0,179.09,25.12,255.07,156.89,57.01,45.73
hsa-miR-147b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-148a-3p,1624.48,1969.71,1455.88,1586.59,1680.17,5984.63,7482.07,2783.36,7480.68,2911.73,3255.15,5921.01,4332.38,4177.29,6475.44,6318.92,5991.24,2590.98,7565.4,9385.12,2015.81,7828.27,6363.66,10674.14,832.13,2552.05,5777.01,5101.39,3263.26,3534.32,7563.44
hsa-miR-148a-5p,26.72,16.01,8.27,0.0,0.0,0.0,0.0,0.0,102.27,36.1,9.85,65.72,37.09,0.0,50.59,61.15,107.47,35.99,0.0,23.38,23.41,54.15,46.41,78.54,0.0,89.55,25.12,31.88,15.69,71.26,48.42
hsa-miR-148b-3p,53.44,35.23,57.9,81.36,98.83,51.59,83.13,0.0,219.16,60.16,123.11,243.15,104.52,0.0,50.59,244.6,80.6,35.99,45.57,81.81,43.89,116.03,133.42,212.07,22.49,44.77,75.35,127.53,78.44,42.75,145.27
hsa-miR-148b-5p,0.0,9.61,12.41,13.56,0.0,0.0,0.0,0.0,14.61,12.03,19.7,19.71,20.23,36.97,0.0,61.15,0.0,35.99,0.0,11.69,0.0,15.47,17.4,47.13,0.0,0.0,25.12,95.65,15.69,42.75,4.04
hsa-miR-149-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
hsa-miR-150-3p,21.37,12.81,0.0,0.0,0.0,51.59,20.78,0.0,14.61,48.13,4.92,52.57,6.74,73.93,50.59,0.0,26.87,0.0,0.0,0.0,23.41,23.21,11.6,7.85,0.0,0.0,50.23,0.0,15.69,14.25,30.94
hsa-miR-150-5p,1351.95,797.49,558.36,542.42,1531.92,4540.06,1662.68,2226.69,1285.74,866.3,1181.9,6295.59,1520.55,1737.46,4249.51,4260.18,1719.46,1463.43,2233.16,1940.14,895.27,1802.36,3057.11,2796.17,2091.58,4969.78,2838.27,2231.86,3467.21,3776.6,667.16
hsa-miR-151a-3p,801.55,957.63,777.57,759.39,1087.17,980.24,2140.7,989.64,978.92,1419.77,1920.59,2037.2,1496.95,2181.07,1416.5,4015.57,2579.19,1163.54,1002.64,1601.2,959.63,2080.84,1635.87,3589.47,618.48,1074.55,1507.05,2168.09,1113.9,2394.22,1178.3
hsa-miR-151a-5p,256.5,182.56,260.57,420.38,98.83,412.73,935.26,680.38,584.43,264.7,1447.83,1688.9,920.42,924.18,758.84,2140.28,779.13,947.63,683.62,841.5,362.79,1052.02,881.75,2489.85,269.88,492.5,1105.17,1562.3,439.28,1425.13,347.03
hsa-miR-151b,176.34,57.65,82.72,13.56,148.25,0.0,0.0,0.0,29.22,72.19,152.66,118.29,158.46,36.97,101.18,264.99,80.6,95.96,45.57,70.13,32.18,85.09,168.23,86.4,134.94,179.09,0.0,127.53,47.07,71.26,53.8
hsa-miR-152-3p,32.06,19.22,8.27,27.12,0.0,0.0,62.35,61.85,29.22,0.0,14.77,59.14,23.6,110.9,50.59,61.15,26.87,23.99,0.0,35.06,20.48,46.41,63.81,125.67,11.25,89.55,0.0,0.0,47.07,57.01,78.02
hsa-miR-153-3p,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,5.8,7.85,0.0,0.0,0.0,0.0,0.0,0.0,12.11
hsa-miR-1538,0.0,3.2,8.27,13.56,0.0,0.0,20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,5.85,0.0,0.0,15.71,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-154-5p,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0
hsa-miR-155-5p,5.34,9.61,8.27,0.0,0.0,51.59,41.57,0.0,14.61,0.0,14.77,26.29,30.34,36.97,50.59,20.38,0.0,0.0,0.0,0.0,26.33,7.74,0.0,23.56,11.25,0.0,25.12,31.88,78.44,14.25,9.42
hsa-miR-15a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,9052.19,6834.73,9653.48,8271.97,4101.6,6655.32,7523.64,5226.53,9584.62,2286.07,6057.23,8063.35,7595.99,3142.21,6424.85,4627.08,7898.77,6717.37,4238.45,3272.52,5529.58,5306.52,6392.67,5655.18,4003.24,9178.42,6806.82,8321.64,6526.51,4318.15,12209.38
hsa-miR-15b-3p,154.97,64.06,194.39,189.85,0.0,206.37,187.05,30.93,102.27,36.1,177.28,72.29,303.43,110.9,101.18,101.92,188.07,35.99,45.57,58.44,96.55,69.62,87.01,149.23,89.96,134.32,200.94,191.3,156.89,85.51,147.96
hsa-miR-15b-5p,160.31,105.69,136.49,67.8,296.5,361.14,270.19,154.63,204.55,72.19,201.91,269.44,286.58,147.87,303.54,183.45,188.07,191.92,0.0,93.5,78.99,177.92,208.83,188.51,78.72,537.27,175.82,414.49,188.26,199.52,238.08
hsa-miR-16-1-3p,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35
hsa-miR-16-2-3p,1907.69,1274.71,2659.46,2020.53,1334.26,1702.52,1558.77,896.86,1724.06,517.37,1615.26,1846.62,1837.47,628.44,809.43,1386.09,1397.06,1079.58,638.05,1683.01,1290.24,1454.26,1363.23,1154.6,2114.07,1925.23,1984.28,2805.76,2682.77,1111.6,2753.4
hsa-miR-16-5p,51016.1,37510.93,60406.65,59178.5,29748.96,43904.45,44019.54,23503.94,47733.15,19359.42,37018.07,60320.69,52211.03,28242.95,35210.2,29454.33,38150.51,34150.61,28301.89,28704.67,34432.62,38607.62,37961.54,30930.67,31744.78,47145.74,50511.14,55828.34,50376.53,30013.25,29895.96
