miRNA,SRR12004720,SRR12004721,SRR12004722,SRR12004723,SRR12004724,SRR12004725,SRR12004726,SRR12004727,SRR12004728,SRR12004729,SRR12004730,SRR12004731,SRR12004732,SRR12004733,SRR12004734,SRR12004735,SRR12004736,SRR12004737,SRR12004738,SRR12004739,SRR12004740,SRR12004741,SRR12004742,SRR12004743,SRR12004744,SRR12004745,SRR12004746,SRR12004747,SRR12004748,SRR12004749,SRR12004750,SRR12004751,SRR12004752,SRR12004753,SRR12004754,SRR12004755
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.41,3.78,0.0,0.0,0.0,136.07,0.0,0.0,36.2,0.0,0.0,0.0,0.0,45.23,0.0,65.18,55.32,0.0,0.0,0.0,0.0
hsa-miR-200c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91,0.0,0.0,0.0,0.0,0.0,0.0,122.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203a-3p,0.0,36.61,0.0,0.0,0.0,10.59,28.56,58.82,0.0,0.0,79.37,0.0,8.87,0.0,0.0,0.0,68.06,0.0,0.0,2.08,0.0,70.46,0.0,0.0,36.73,75.94,0.0,0.0,90.46,0.0,120.07,0.58,0.0,33.9,57.72,20.52
hsa-miR-204-5p,0.0,0.0,0.0,0.0,0.0,0.0,20.56,29.41,0.0,39.91,0.0,0.0,21.87,24.85,211.18,0.0,0.0,0.0,0.0,530.46,49.38,0.0,0.7,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.58,42.32,25.42,0.0,0.0
hsa-miR-205-5p,0.0,0.0,0.0,0.0,0.0,0.0,37.7,57.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,406.26,0.0,51.99,0.76,0.0,0.0,46.09,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.68,0.0
hsa-miR-20a-5p,183.37,151.21,52.94,139.02,70.53,305.64,169.07,316.84,0.97,416.66,248.63,195.58,357.66,18.49,593.85,0.0,282.65,636.68,477.15,687.37,70.23,129.0,246.79,116.88,287.72,333.17,146.35,187.64,386.19,129.26,211.84,187.86,103.69,118.65,139.27,39.83
hsa-miR-21-3p,0.0,47.75,41.18,53.74,40.91,0.0,47.98,0.0,0.0,0.0,0.96,0.0,14.78,39.3,0.0,0.0,7.56,145.22,24.0,0.69,79.01,0.0,41.48,0.0,0.0,0.0,67.32,0.0,90.46,31.95,30.87,0.0,75.12,0.0,37.64,25.35
hsa-miR-21-5p,5909.64,4549.15,3861.34,4100.48,3008.7,4050.12,3885.09,5799.11,4226.41,5497.58,5003.12,12654.06,24626.37,2966.94,33234.24,6900.53,17824.83,13212.06,5295.28,31129.62,3378.82,3521.07,5364.1,4797.55,3715.81,8334.13,4046.02,5718.15,3585.3,4760.51,4566.05,4793.32,4621.69,7373.04,5543.25,5137.39
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.95,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,25.74,90.73,0.0,15.19,7.05,33.08,45.69,53.27,75.3,21.13,0.0,54.43,0.0,10.98,2.3,0.0,74.68,47.39,0.0,0.0,4.39,42.28,27.42,28.66,0.0,45.32,39.03,41.5,0.0,30.96,0.0,14.41,0.0,82.33,0.0,0.0
hsa-miR-212-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,42.35,0.69,0.0,0.0,0.7,0.0,0.0,0.0,40.0,0.0,69.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-214-3p,0.0,0.0,0.0,0.0,0.0,0.0,39.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,0.0,25.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,197.19,0.0,0.0,0.0,0.0,0.0,36.95,0.0,0.0,0.0,0.0,64.36,0.49,60.03,0.0,0.0,0.0,65.24,0.0
hsa-miR-216b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0
hsa-miR-22-3p,756.0,434.54,595.32,939.26,806.83,881.21,693.4,749.65,2537.0,857.97,642.6,679.85,1057.6,240.98,2468.62,1817.49,1088.06,1195.4,343.04,919.27,2306.68,988.67,2158.58,1159.8,1374.3,1337.58,903.45,893.22,1262.94,626.64,867.93,334.23,888.79,1107.77,859.47,2120.86
hsa-miR-22-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53,0.0,0.0,0.0,0.0,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,260.58,151.21,82.36,149.53,253.9,271.24,357.55,712.47,589.84,159.62,337.56,671.97,54.39,121.36,654.84,231.5,778.94,84.08,622.56,7.64,152.54,281.86,931.63,727.7,6.12,986.03,362.94,869.01,335.74,513.11,320.76,433.92,448.63,646.5,0.0,822.03
hsa-miR-221-5p,180.15,50.94,84.71,87.62,342.76,1.32,223.9,469.99,256.79,449.52,320.35,534.95,240.61,60.68,239.96,161.31,1196.77,84.84,367.04,814.43,136.07,305.71,839.52,471.31,58.16,990.93,109.27,297.45,245.28,275.23,444.26,171.73,63.48,766.36,140.53,590.27
hsa-miR-222-3p,112.6,176.68,77.65,3.5,29.62,238.16,4.57,1.11,101.36,169.01,192.21,242.89,235.88,0.0,445.39,104.67,688.19,4.59,98.82,0.0,73.52,149.6,231.33,150.82,50.5,285.4,202.94,54.48,36.53,42.27,153.52,149.25,84.65,157.39,0.0,194.34
hsa-miR-222-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-223-3p,180.15,111.42,0.0,31.54,0.0,0.0,0.0,215.3,0.0,3.52,62.16,86.72,14.78,0.0,112.21,0.0,193.79,0.0,186.34,0.69,0.0,42.28,207.42,377.8,35.2,632.04,30.25,146.13,102.64,235.91,203.26,202.84,150.25,84.75,0.0,270.39
hsa-miR-223-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,44.41,1.17,0.0,32.66,0.0,18.49,0.0,0.0,50.1,0.0,22.59,0.0,8.78,0.0,0.0,36.2,0.0,23.27,40.98,0.0,0.0,0.0,36.02,0.0,0.0,76.27,0.0,91.74
hsa-miR-224-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,395.69,374.06,94.12,0.0,173.5,148.19,239.89,361.23,165.08,136.15,69.81,918.98,1892.33,64.15,974.79,353.4,628.63,198.72,143.99,706.12,46.09,39.03,80.16,256.39,91.82,140.86,175.62,265.46,45.23,416.78,92.62,231.66,335.41,329.3,0.0,387.48
hsa-miR-2276-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2277-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2355-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.69,0.0,0.0
hsa-miR-2355-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92,0.0,0.0,0.0,54.43,0.0,0.0,17.26,0.0,2.84,0.0,32.47,0.0,0.0,49.87,0.0,39.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,1743.62,1903.7,434.14,669.39,454.2,1160.39,851.04,1676.31,1039.71,1329.79,1926.85,3631.26,3398.04,735.67,4654.69,2278.01,3395.57,3590.02,1636.16,5108.08,735.24,1132.86,3165.44,1338.52,826.42,2731.5,1524.94,1875.5,754.98,2558.17,1150.95,1498.27,1299.32,1089.61,894.6,2367.11
hsa-miR-23a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
