miRNA,SRR25598526,SRR25598527,SRR25598528,SRR25598529,SRR25598530,SRR25598531,SRR25598532,SRR25598533,SRR25598534,SRR25598535,SRR25598536,SRR25598537,SRR25598538,SRR25598539,SRR25598540,SRR25598541,SRR25598542,SRR25598543,SRR25598544,SRR25598545,SRR25598546,SRR25598547,SRR25598548,SRR25598549,SRR25598550,SRR25598551,SRR25598552,SRR25598553,SRR25598554,SRR25598555,SRR25598556,SRR25598557,SRR25598558,SRR25598559,SRR25598560,SRR25598561,SRR25598562,SRR25598563,SRR25598564,SRR25598565,SRR25598566,SRR25598567,SRR25598568,SRR25598569,SRR25598570
hsa-miR-204-3p,66.69,77.49,116.34,166.46,117.46,83.32,44.52,132.58,65.37,101.29,23.49,84.51,104.27,59.01,156.61,117.75,132.37,60.5,140.04,158.6,147.34,141.05,179.56,233.66,84.62,92.26,170.12,118.94,70.49,69.79,39.25,78.62,57.7,40.56,92.47,122.06,64.12,86.29,73.96,66.51,92.28,105.5,44.26,50.17,46.68
hsa-miR-204-5p,1327.35,1446.5,1563.93,1155.98,3020.34,1920.52,924.25,2186.49,1192.3,1833.63,845.5,1430.49,1648.7,729.66,2384.6,1683.45,2338.07,1149.47,2056.09,2061.86,2104.13,1976.91,1963.76,3663.19,1662.34,1607.36,2110.83,1733.03,1505.01,1310.63,1052.49,1825.34,1501.64,1095.93,1939.69,964.74,976.71,1200.5,853.09,807.56,1598.93,1504.49,901.97,908.79,1044.07
hsa-miR-205-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-205-5p,258.52,187.35,136.31,39.23,229.98,149.6,175.82,87.18,111.29,172.67,209.4,176.21,123.95,130.7,181.78,308.82,390.47,160.99,179.24,52.2,137.98,120.77,51.32,190.59,50.6,236.31,49.56,206.37,191.91,190.59,240.29,289.16,181.39,155.15,210.69,26.7,303.92,69.35,52.83,55.23,249.23,144.01,67.17,30.25,224.43
hsa-miR-206,5.09,6.63,14.47,9.89,3.4,8.12,3.25,5.2,2.48,5.3,2.43,3.83,8.71,3.49,9.57,15.28,3.55,4.1,17.82,14.42,4.23,14.04,19.09,5.53,5.93,9.5,0.81,0.0,2.05,7.39,7.85,1.75,6.22,4.84,0.39,2.54,0.41,11.44,9.65,6.11,4.84,6.16,3.42,11.87,0.19
hsa-miR-208b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0
hsa-miR-20a-3p,0.0,0.0,2.89,0.0,0.0,0.48,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.23,1.33,0.48,0.95,0.0,0.0,1.76,0.0,2.89,0.0,0.0,0.0,1.61,0.0,0.0,0.0,1.53
hsa-miR-20a-5p,137.95,91.29,77.56,18.42,109.43,207.59,265.67,137.09,141.49,195.4,181.05,158.73,39.63,62.81,78.3,113.98,183.51,157.4,102.63,58.25,54.95,23.72,65.68,130.8,67.34,210.98,67.56,95.71,264.67,368.17,318.79,323.53,214.01,180.27,242.88,32.74,296.29,89.18,107.5,96.13,183.14,111.66,101.81,63.96,289.09
hsa-miR-20b-3p,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,1.54,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.79,0.0,1.91
hsa-miR-20b-5p,3.51,3.98,1.74,0.0,4.02,2.07,1.63,3.29,3.72,4.24,6.68,11.01,0.0,4.44,12.09,4.47,8.76,1.54,12.47,0.0,0.91,0.0,1.35,3.78,0.0,7.91,0.0,2.81,8.19,5.32,5.13,11.14,12.44,3.91,10.14,0.0,0.0,1.16,0.0,3.06,3.22,0.0,1.84,1.91,4.02
hsa-miR-21-3p,1.76,0.0,2.03,0.0,5.56,6.05,2.44,0.87,2.9,2.47,4.86,6.46,0.0,9.2,0.0,7.29,0.47,0.0,6.06,0.0,2.11,2.5,0.0,7.42,3.31,4.52,0.61,4.29,0.91,2.96,5.45,2.55,3.39,3.16,0.0,4.77,3.3,3.04,0.0,0.47,1.21,1.28,4.74,0.38,1.15
hsa-miR-21-5p,12639.56,8885.97,9526.54,6781.68,11239.32,21202.53,16341.73,16510.6,19484.92,15192.57,17217.85,20067.56,8208.37,10103.19,13767.31,9976.39,15838.2,11326.57,8162.37,8442.94,9845.53,14595.4,9514.37,13890.11,10273.25,14945.85,10562.66,16093.47,17112.01,26373.71,24160.56,29626.47,14467.17,21660.42,19425.14,14213.36,20215.31,11238.13,13292.02,10009.71,17993.25,20879.83,13378.43,9333.79,23164.07
hsa-miR-210-3p,24.75,12.74,19.97,0.34,13.6,22.46,16.46,17.5,40.96,15.31,20.45,12.93,16.02,13.32,15.86,18.33,33.86,14.87,19.6,1.44,10.87,6.55,8.26,21.24,8.9,21.26,3.64,10.8,29.33,22.92,26.91,30.87,14.14,27.35,18.53,26.07,26.8,8.69,20.9,17.86,28.61,12.06,17.12,4.6,25.83
