miRNA,GSM6675021,GSM6675015,GSM6675018,GSM6675019,GSM6675020,GSM6675017,GSM6675014,GSM6675004,GSM6675016,GSM6675011,GSM6675013,GSM6675012,GSM6675008,GSM6675010,GSM6675009,GSM6675007,GSM6675006,GSM6675005,GSM6675001,GSM6675000,GSM6675003,GSM6675002,GSM6674997,GSM6674999,GSM6674996,GSM6674993,GSM6674998,GSM6674995,GSM6674994,GSM6674985,GSM6674988,GSM6674989,GSM6674992,GSM6674991,GSM6674990,GSM6674986,GSM6674987,GSM6674984,GSM6674983,GSM6674982
hsa-miR-4745-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-4745-5p,0.0,0.42,0.19,0.87,0.66,0.0,0.16,0.0,0.0,0.63,0.29,0.48,0.4,0.0,0.64,0.87,0.27,0.0,0.32,0.0,0.18,0.18,0.0,0.18,0.0,0.47,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.83,0.34,0.0,0.94,0.0,0.0,0.29
hsa-miR-4746-5p,0.57,0.42,0.19,0.0,0.22,0.0,0.16,0.68,0.0,0.63,0.29,0.32,0.1,0.38,0.21,0.43,0.0,0.4,0.16,0.31,0.37,0.18,0.12,0.18,0.16,0.16,0.5,0.0,0.0,0.0,0.21,0.0,0.3,0.0,0.34,0.0,1.87,0.0,0.0,0.0
hsa-miR-4747-3p,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-4748,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.83,0.0,0.0,0.94,0.0,0.0,0.15
hsa-miR-4749-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4749-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0
hsa-miR-4750-5p,0.0,0.0,0.0,0.0,0.22,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.18,0.36,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4753-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.16,0.3,0.57,0.0,0.0,0.0,0.2,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4755-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.32,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-4755-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4757-3p,0.14,0.21,0.77,0.72,0.22,0.38,0.49,0.0,0.0,0.95,0.0,0.0,0.2,0.38,0.43,0.0,0.0,0.6,0.48,0.31,0.37,0.0,0.0,0.18,0.0,0.31,0.25,0.0,0.0,0.19,0.41,0.62,0.0,0.83,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-4757-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-4758-3p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.2,0.38,0.0,0.0,0.0,0.2,0.0,0.1,0.18,0.0,0.0,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.21,0.19,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.21,0.0,0.18,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4761-3p,0.14,0.0,0.0,0.14,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4762-5p,0.29,0.21,0.58,0.43,0.44,0.0,0.65,0.0,0.0,0.0,0.0,0.16,0.4,0.96,0.43,0.22,0.0,0.0,0.48,0.31,0.0,0.0,0.0,0.18,0.0,0.16,0.25,0.0,0.52,0.38,0.62,0.21,0.0,0.0,0.17,0.0,0.0,0.49,0.2,0.0
hsa-miR-4763-3p,0.14,1.05,0.38,0.58,0.22,0.19,0.0,0.9,0.46,0.0,0.86,0.16,0.5,0.0,0.86,0.22,0.81,0.2,0.64,0.73,0.74,0.18,0.12,0.18,0.16,0.78,0.0,0.0,0.0,0.75,0.0,0.0,0.91,1.67,0.68,1.17,0.0,0.0,0.4,0.0
hsa-miR-4763-5p,0.43,0.21,0.19,0.29,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.19,0.21,0.0,0.27,0.0,0.0,0.21,0.37,0.18,0.12,0.0,0.16,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.49,0.0,0.0
hsa-miR-4766-3p,0.29,0.0,0.19,0.0,0.22,0.0,0.16,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-4766-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4767,0.43,0.84,0.38,0.72,1.1,0.38,1.14,0.0,0.46,0.95,0.0,1.29,0.8,0.57,0.43,0.22,1.08,0.99,0.96,0.63,0.74,1.96,0.61,1.29,0.94,1.88,0.5,0.51,1.57,0.38,0.82,0.62,2.42,0.0,0.17,1.17,0.94,0.0,0.4,0.44
hsa-miR-4768-5p,0.0,0.0,0.0,0.0,0.22,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.21,0.0,0.54,0.0,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4772-3p,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4772-5p,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,1.93,0.2,0.19,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.16,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4775,1.14,1.27,0.77,1.01,2.19,0.75,1.14,0.23,0.23,0.95,0.29,0.32,0.8,1.92,1.29,1.52,1.08,1.39,2.09,0.52,1.66,0.71,1.46,0.73,0.94,2.82,1.5,0.0,1.57,0.75,1.85,1.04,0.3,0.0,1.36,2.35,3.75,2.44,0.6,0.73
hsa-miR-4777-3p,0.57,0.0,0.77,0.43,0.22,0.38,0.65,0.0,0.23,0.32,0.0,0.16,0.4,0.38,0.64,0.43,0.27,0.2,0.48,0.21,0.37,0.18,0.49,0.0,0.31,0.0,0.25,0.51,0.0,0.0,0.62,0.62,0.61,0.0,0.0,0.59,1.87,0.0,0.0,0.15
hsa-miR-4777-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0
hsa-miR-4780,2.29,2.74,3.46,2.31,0.66,1.69,2.13,2.26,0.92,1.58,1.14,1.45,2.88,3.26,3.01,2.6,0.81,2.98,3.05,1.36,2.94,2.85,1.1,2.94,1.87,1.25,2.75,1.53,1.57,0.19,1.24,2.29,0.91,4.17,0.68,2.94,3.75,1.46,0.8,1.75
hsa-miR-4781-3p,2.86,0.63,1.15,1.88,0.66,0.19,1.96,0.9,0.23,3.15,1.43,0.64,2.29,1.34,0.86,1.73,1.63,0.6,0.64,1.77,0.92,1.43,2.07,2.2,0.62,0.63,1.0,0.51,0.0,1.51,2.06,2.71,1.21,4.17,1.87,0.0,0.94,0.49,0.2,0.58
hsa-miR-4781-5p,0.0,0.0,0.77,0.14,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4783-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.19,0.21,0.22,0.0,0.2,0.0,0.1,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-4786-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4786-5p,0.14,0.21,0.19,0.14,0.22,0.0,0.0,0.0,0.23,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4787-3p,0.29,0.0,0.0,0.14,0.44,0.38,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.22,0.0,0.0,0.32,0.63,0.18,0.36,0.37,0.37,0.31,0.16,1.25,0.0,0.0,0.19,1.03,0.0,0.3,0.0,0.0,1.17,0.0,0.0,0.0,0.15
hsa-miR-4788,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4789-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0
hsa-miR-4789-5p,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4790-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4795-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.16,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4795-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4796-3p,0.0,0.21,0.19,0.43,0.22,0.19,0.16,0.45,0.0,0.95,0.29,0.0,0.4,0.57,0.0,0.87,0.0,0.0,0.16,0.42,0.0,0.18,0.12,1.1,0.0,0.0,0.25,0.0,0.0,0.0,0.21,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-4796-5p,0.43,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.19,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
hsa-miR-4797-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4799-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4800-3p,0.43,0.42,0.0,0.0,0.0,0.0,0.49,0.0,0.23,0.0,0.0,0.0,0.1,0.38,0.0,0.0,0.54,0.4,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.19,0.0,0.0,0.3,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-4800-5p,0.0,0.0,0.38,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.29,0.16,0.0,0.19,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-4802-3p,0.43,0.21,0.19,0.43,0.0,0.0,0.49,0.0,0.69,0.0,0.29,0.32,0.4,0.57,0.86,0.43,0.0,0.2,0.64,0.42,0.18,0.18,0.12,0.37,0.78,0.47,1.0,0.51,0.0,0.38,0.62,0.42,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-4802-5p,0.72,0.0,0.58,0.72,0.44,0.56,1.14,0.0,0.23,0.32,0.86,0.16,0.3,0.77,0.21,0.43,0.0,0.4,0.32,0.63,0.18,0.36,0.37,0.37,0.16,0.94,0.0,0.51,0.0,0.38,1.03,0.42,0.0,0.0,0.68,1.17,0.0,0.98,0.0,0.15
hsa-miR-4804-3p,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4804-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-484,229.56,190.46,183.58,208.09,137.87,155.26,198.96,142.3,114.33,208.47,204.98,110.74,240.07,294.12,290.22,161.03,108.91,225.84,317.74,226.33,226.72,254.05,124.26,288.28,143.46,150.36,217.14,182.19,122.4,60.4,177.81,170.6,103.59,139.17,142.85,123.91,149.93,167.47,94.4,113.95
hsa-miR-485-3p,0.14,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-485-5p,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.92,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.15
hsa-miR-486-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.16,0.0,0.25,0.0,7.85,0.38,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-486-5p,0.29,0.0,0.0,0.58,0.44,0.38,0.0,2.71,0.0,1.58,0.86,3.7,0.5,0.0,3.87,0.43,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,1.21,0.0,0.0,0.0,2.81,0.0,0.0,0.44
hsa-miR-487a-3p,0.29,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-487a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-487b-3p,3.72,0.63,0.58,0.29,0.44,0.19,1.14,1.35,0.69,0.32,0.0,0.32,0.4,0.38,1.5,0.43,1.63,1.59,0.64,0.1,0.0,1.43,0.49,0.55,0.16,0.63,1.25,0.0,0.0,0.19,0.21,0.42,0.3,0.0,1.53,0.0,2.81,0.49,0.8,0.29
hsa-miR-488-3p,1.0,0.84,0.77,0.58,0.22,0.38,0.65,0.45,0.69,0.0,0.0,0.0,0.89,1.15,0.43,0.43,0.0,0.79,1.44,0.52,0.55,0.89,0.85,0.92,0.62,0.16,0.5,0.51,0.0,0.0,0.21,0.42,0.0,0.0,1.19,0.59,1.87,0.49,0.2,0.88
hsa-miR-488-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.29,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.16,0.31,0.55,0.0,0.12,0.18,0.16,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-489-3p,0.43,0.21,0.19,0.0,0.22,0.56,0.16,0.23,1.37,0.95,0.57,0.48,0.2,0.0,0.0,0.0,0.27,0.4,0.0,0.1,0.0,0.36,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,3.06,0.0,1.87,0.98,0.0,0.15
hsa-miR-491-3p,0.0,0.21,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.19,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.24,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-491-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-492,0.0,0.0,0.19,0.0,0.0,0.0,0.16,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-493-3p,0.0,0.0,0.0,0.0,0.0,0.19,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.18,0.31,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-493-5p,0.57,0.42,0.38,0.14,0.0,0.0,0.33,0.23,0.0,0.0,0.57,0.0,0.0,0.0,0.43,0.0,0.0,0.2,0.16,0.1,0.0,0.36,0.0,0.18,0.16,0.16,0.25,0.0,0.52,0.0,0.21,0.42,0.0,0.0,1.02,0.0,0.94,0.0,0.0,0.0
hsa-miR-494-3p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.32,0.0,0.0,0.0,0.0,0.0,0.22,0.27,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
hsa-miR-495-3p,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.27,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-497-3p,0.29,0.21,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-497-5p,164.34,67.91,86.02,45.7,64.88,64.77,114.76,90.66,56.36,52.35,104.35,58.67,95.83,93.12,108.05,71.09,69.36,75.22,138.97,113.84,95.69,56.47,105.61,150.66,80.93,94.39,90.21,80.63,64.86,33.68,185.02,127.69,67.85,43.33,108.96,99.25,68.41,116.69,51.89,59.31
hsa-miR-498-3p,0.14,0.21,0.19,0.58,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.18,0.18,0.12,0.0,0.31,0.0,0.25,0.0,0.0,0.19,0.21,0.21,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-498-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.37,0.16,0.16,0.0,0.0,0.0,0.0,0.62,0.42,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4999-3p,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.3,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-4999-5p,0.29,0.42,0.0,0.43,0.0,0.38,0.16,0.0,0.0,0.0,0.29,0.0,0.2,0.19,0.43,0.0,0.0,0.4,0.0,0.0,0.18,0.0,0.12,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.15
