miRNA,GSM6675021,GSM6675015,GSM6675018,GSM6675019,GSM6675020,GSM6675017,GSM6675014,GSM6675004,GSM6675016,GSM6675011,GSM6675013,GSM6675012,GSM6675008,GSM6675010,GSM6675009,GSM6675007,GSM6675006,GSM6675005,GSM6675001,GSM6675000,GSM6675003,GSM6675002,GSM6674997,GSM6674999,GSM6674996,GSM6674993,GSM6674998,GSM6674995,GSM6674994,GSM6674985,GSM6674988,GSM6674989,GSM6674992,GSM6674991,GSM6674990,GSM6674986,GSM6674987,GSM6674984,GSM6674983,GSM6674982
hsa-miR-214-5p,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,5.15,5.27,3.08,7.66,3.73,4.88,5.07,3.16,2.06,6.31,2.57,1.93,5.87,8.05,6.66,2.82,3.25,1.98,6.42,5.84,4.23,6.41,5.61,9.0,5.77,7.68,5.0,1.53,2.62,1.13,6.39,6.04,3.03,0.0,4.94,5.87,0.0,2.44,2.2,2.48
hsa-miR-216a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-216a-5p,0.0,0.0,0.0,0.14,0.0,0.19,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-216b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-217-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-1-3p,4.29,1.48,2.89,2.6,2.19,0.56,1.96,2.48,1.83,2.52,1.72,0.8,4.18,5.17,3.44,1.3,0.54,1.39,3.85,1.46,2.58,5.52,1.71,2.2,2.03,2.04,1.0,3.06,3.14,0.75,2.27,1.04,0.91,2.5,1.87,2.35,0.0,1.95,0.2,1.9
hsa-miR-218-5p,3.72,1.48,4.62,3.62,1.53,1.13,3.92,1.8,0.69,2.52,0.86,2.25,1.69,5.17,2.36,3.03,1.08,0.79,3.69,1.88,1.29,3.92,2.32,0.73,2.34,4.55,1.75,2.04,0.52,0.56,10.1,2.29,2.12,4.17,3.06,5.29,2.81,3.42,0.2,4.09
hsa-miR-219a-1-3p,2.15,0.63,0.77,2.17,0.22,0.94,1.47,1.13,0.46,1.26,1.43,0.48,0.8,0.57,1.5,0.87,1.08,0.6,0.8,1.56,1.1,0.53,1.1,1.29,1.25,0.94,1.5,0.51,1.05,0.75,2.68,1.04,0.91,0.83,0.68,2.94,0.94,1.46,0.2,0.88
