miRNA,SRR17646531,SRR17646532,SRR17646533,SRR17646534,SRR17646535,SRR17646536,SRR17646537,SRR17646538,SRR17646539,SRR17646540,SRR17646541,SRR17646542,SRR17646543,SRR17646544,SRR17646545,SRR17646546,SRR17646547,SRR17646548,SRR17646549,SRR17646550,SRR17646551,SRR17646552,SRR17646553,SRR17646554,SRR17646555,SRR17646556,SRR17646557,SRR17646558,SRR17646559,SRR17646560,SRR17646561,SRR17646562,SRR17646563,SRR17646564,SRR17646565
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,12.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,65.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,4.04,0.0,0.0,0.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1289,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.06,0.0,0.0
hsa-miR-1299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,1.02,0.0
hsa-miR-1307-3p,740.85,163.97,506.07,905.26,236.19,255.66,493.84,245.99,611.79,839.09,384.46,911.89,549.77,457.84,240.11,857.8,176.55,246.49,235.55,118.24,520.3,165.28,500.44,407.69,163.0,48.4,977.43,135.64,625.81,87.33,425.26,792.75,360.94,600.82,691.44
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,14.89,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,25.69,0.0,2.69,14.29,0.0,0.0,13.57,0.0,0.0,32.69,16.59,0.0,0.0,0.0,30.72,0.0,0.0,15.37,0.0,21.09,0.0,0.0,17.63,0.0,0.0,89.18
hsa-miR-137-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-3p,375.58,70.11,171.81,591.46,92.79,111.67,337.38,219.99,431.3,401.2,361.69,828.38,433.53,302.05,492.23,222.59,82.06,138.35,269.2,117.2,381.02,257.0,720.64,679.95,282.39,177.48,646.5,385.51,663.99,277.98,1263.36,561.13,429.12,772.78,556.02
hsa-miR-139-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-140-3p,5.73,2.26,2.34,0.0,0.0,0.0,0.0,0.0,18.64,0.0,0.0,1.35,42.88,1.19,5.34,2.04,0.0,0.97,0.0,0.0,2.4,32.25,3.0,37.7,1.04,1.08,56.96,29.45,3.01,1.07,7.65,1.82,0.0,0.0,0.0
hsa-miR-140-5p,34.35,18.09,0.0,175.79,104.84,98.44,433.54,49.0,322.84,51.37,28.13,173.76,101.0,35.68,58.69,17.64,29.84,19.49,76.91,37.34,349.0,1.01,88.08,163.35,35.3,0.0,581.39,39.26,248.12,182.12,117.54,271.14,115.3,8.19,125.52
hsa-miR-141-3p,93.89,26.01,0.0,29.57,94.0,0.0,53.78,150.99,16.95,62.38,34.83,8.08,6.67,0.0,244.11,31.9,33.57,24.36,37.5,30.08,0.0,0.0,0.0,39.09,35.3,0.0,75.95,0.0,40.18,0.0,37.27,2.43,0.0,24.57,0.0
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.41,0.0,0.0,0.0
hsa-miR-142-3p,135647.72,28338.18,29323.97,85056.5,26920.2,27828.71,35832.22,39860.25,68261.78,59797.74,57286.23,125341.96,55298.83,76330.31,79976.2,80625.62,24051.97,19479.47,76878.26,18407.71,55846.75,60365.86,66554.77,53914.09,45896.35,22357.59,61401.69,57856.76,114452.69,38647.55,128072.39,55249.66,60114.66,78652.48,62543.7
hsa-miR-142-5p,6568.03,1111.63,1030.84,2288.61,974.91,862.48,1489.68,1453.94,2583.57,1236.61,2021.44,4702.21,2206.69,3998.04,3229.52,4911.31,1413.65,795.0,2924.69,798.62,2124.43,5881.68,3848.4,2231.12,3270.38,974.55,2948.56,5098.18,9255.62,1662.55,7235.17,2976.48,3628.46,4110.57,2917.71
