miRNA,GSM7147871,GSM7147870
hsa-miR-19b-3p,0.06,0.0
hsa-miR-200a-3p,8.24,8.66
hsa-miR-200a-5p,5.1,4.62
hsa-miR-200b-3p,12.95,13.26
hsa-miR-200b-5p,1.16,0.94
hsa-miR-200c-3p,10.72,11.44
hsa-miR-203a-3p,11.9,12.28
hsa-miR-203b-3p,0.0,0.03
hsa-miR-204-3p,10.68,1.26
hsa-miR-204-5p,3.25,3.3
hsa-miR-205-5p,0.07,0.1
hsa-miR-206,2.18,0.36
hsa-miR-20a-5p,0.85,1.75
hsa-miR-20b-5p,0.04,0.03
hsa-miR-21-3p,0.5,0.19
hsa-miR-21-5p,587.01,513.27
hsa-miR-210-3p,0.04,0.07
hsa-miR-211-5p,0.54,0.0
hsa-miR-2110,0.91,0.85
hsa-miR-212-5p,0.04,0.13
hsa-miR-214-3p,0.0,0.03
hsa-miR-215-3p,0.07,0.01
hsa-miR-215-5p,36.55,37.29
hsa-miR-216a-3p,0.15,0.0
hsa-miR-216a-5p,0.0,0.06
hsa-miR-217-5p,0.06,0.07
hsa-miR-218-5p,1.55,2.51
hsa-miR-219a-1-3p,0.18,0.0
hsa-miR-22-3p,9.79,11.31
hsa-miR-22-5p,1.53,1.46
hsa-miR-221-3p,16.1,10.95
hsa-miR-221-5p,3.38,1.93
hsa-miR-222-3p,46.94,38.17
hsa-miR-222-5p,0.02,0.06
hsa-miR-223-5p,0.0,0.06
hsa-miR-224-3p,0.02,0.0
hsa-miR-224-5p,1.53,1.5
hsa-miR-2277-5p,0.04,0.0
hsa-miR-23a-3p,1.81,2.9
hsa-miR-23a-5p,0.83,0.4
hsa-miR-23b-3p,2.38,3.77
hsa-miR-23b-5p,0.13,0.42
hsa-miR-24-1-5p,0.0,0.07
hsa-miR-24-2-5p,0.67,0.5
hsa-miR-24-3p,8.35,17.92
hsa-miR-25-3p,8.08,10.44
hsa-miR-25-5p,0.33,0.39
hsa-miR-2682-5p,0.43,1.9
hsa-miR-26a-2-3p,0.0,0.01
hsa-miR-26a-5p,99.36,106.86
hsa-miR-26b-3p,0.06,0.1
hsa-miR-26b-5p,3.4,3.58
hsa-miR-27a-3p,5.01,7.62
hsa-miR-27a-5p,4.43,2.91
hsa-miR-27b-3p,36.02,44.13
hsa-miR-27b-5p,0.61,0.39
hsa-miR-28-3p,7.48,3.97
hsa-miR-28-5p,3.4,2.18
hsa-miR-296-3p,2.81,0.89
hsa-miR-299-3p,0.94,0.0
hsa-miR-299-5p,0.0,0.01
hsa-miR-29a-3p,4.56,5.22
hsa-miR-29b-3p,0.18,0.06
hsa-miR-29c-3p,0.0,0.03
hsa-miR-29c-5p,0.0,0.01
hsa-miR-301a-5p,0.02,0.13
hsa-miR-302a-3p,0.0,0.01
hsa-miR-302b-3p,0.0,0.07
hsa-miR-30a-3p,6.08,14.46
hsa-miR-30a-5p,17.41,25.38
hsa-miR-30b-3p,0.06,0.13
hsa-miR-30b-5p,0.31,0.17
hsa-miR-30c-1-3p,0.0,0.03
hsa-miR-30c-2-3p,0.41,1.21
hsa-miR-30c-5p,6.63,7.6
hsa-miR-30d-3p,0.07,0.03
hsa-miR-30d-5p,148.15,153.24
hsa-miR-30e-3p,4.42,5.28
hsa-miR-30e-5p,2.33,2.5
hsa-miR-31-3p,0.02,0.04
hsa-miR-31-5p,0.2,0.2
hsa-miR-3125,0.26,0.0
hsa-miR-3126-5p,0.2,0.23
hsa-miR-3127-5p,0.0,0.01
hsa-miR-3129-3p,0.0,0.01
hsa-miR-3131,0.02,0.0
hsa-miR-3133,0.0,0.06
hsa-miR-3148,0.17,0.0
hsa-miR-3150a-5p,0.0,0.01
hsa-miR-3151-5p,0.57,0.0
hsa-miR-3152-5p,0.04,0.09
hsa-miR-3157-3p,0.0,0.01
hsa-miR-3158-3p,0.35,0.32
hsa-miR-3162-5p,0.0,0.09
hsa-miR-3167,0.24,0.01
hsa-miR-3168,0.02,0.03
hsa-miR-3173-5p,0.02,0.0
hsa-miR-3175,0.0,0.04
hsa-miR-3176,0.0,0.01
hsa-miR-3177-3p,0.11,0.0
hsa-miR-3178,0.09,0.5
hsa-miR-3180,0.09,0.0
hsa-miR-3180-3p,0.63,0.12
hsa-miR-3182,2.57,4.28
hsa-miR-3187-3p,0.33,0.07
hsa-miR-3195,0.0,0.13
hsa-miR-3196,0.24,0.07
hsa-miR-32-3p,0.04,0.0
hsa-miR-32-5p,0.28,0.23
hsa-miR-320a-3p,365.16,89.08
hsa-miR-320a-5p,0.06,0.45
hsa-miR-320b,16.43,16.4
hsa-miR-320c,39.05,7.69
hsa-miR-320d,7.21,4.89
hsa-miR-320e,0.39,0.0
hsa-miR-323a-3p,1.77,0.91
hsa-miR-323a-5p,0.94,0.0
hsa-miR-323b-3p,0.09,0.12
hsa-miR-326,0.0,0.03
hsa-miR-328-3p,2.37,3.71
hsa-miR-328-5p,0.18,0.06
hsa-miR-329-3p,0.13,0.14
hsa-miR-329-5p,0.04,0.01
hsa-miR-330-3p,0.37,0.56
hsa-miR-330-5p,0.0,0.39
hsa-miR-331-3p,0.0,0.03
hsa-miR-331-5p,0.15,0.16
hsa-miR-335-3p,1.96,1.64
hsa-miR-335-5p,0.28,0.26
hsa-miR-337-3p,0.24,0.04
hsa-miR-337-5p,0.0,0.01
hsa-miR-338-3p,0.04,0.01
hsa-miR-338-5p,0.37,0.0
hsa-miR-339-3p,0.31,0.14
hsa-miR-339-5p,0.26,0.65
hsa-miR-340-3p,0.52,0.42
hsa-miR-340-5p,1.03,0.91
hsa-miR-342-3p,0.18,0.3
hsa-miR-342-5p,2.73,3.39
hsa-miR-345-5p,1.57,0.46
hsa-miR-34a-3p,0.02,0.0
hsa-miR-34a-5p,0.31,0.14
hsa-miR-34b-3p,0.35,0.39
hsa-miR-34c-3p,0.04,0.03
hsa-miR-34c-5p,1.64,1.73
hsa-miR-3605-3p,0.07,0.19
hsa-miR-3605-5p,0.13,0.16
hsa-miR-3609,0.0,0.06
hsa-miR-361-3p,2.55,2.22
hsa-miR-361-5p,0.15,0.53
hsa-miR-3611,0.0,0.01
hsa-miR-3613-5p,0.06,0.03
hsa-miR-3615,1.55,0.29
hsa-miR-3620-5p,0.11,0.01
hsa-miR-363-3p,1.66,1.7
hsa-miR-363-5p,0.02,0.0
hsa-miR-3648,1.09,0.84
hsa-miR-3652,0.0,0.01
hsa-miR-3659,0.0,0.07
hsa-miR-365a-3p,0.0,0.03
hsa-miR-365a-5p,0.59,0.04
hsa-miR-365b-3p,0.09,0.01
hsa-miR-365b-5p,0.35,0.35
hsa-miR-3661,0.0,0.01
hsa-miR-3663-5p,0.06,0.0
hsa-miR-3665,1.31,1.67
hsa-miR-3675-5p,0.0,0.01
hsa-miR-3679-5p,0.02,0.01
hsa-miR-369-3p,0.13,0.22
hsa-miR-369-5p,0.26,0.1
hsa-miR-3691-5p,0.06,0.0
hsa-miR-370-3p,87.02,7.04
hsa-miR-370-5p,0.02,0.01
hsa-miR-372-3p,0.02,0.01
hsa-miR-374a-3p,0.55,0.13
hsa-miR-374a-5p,0.35,0.1
hsa-miR-374b-3p,0.0,0.03
hsa-miR-374b-5p,0.02,0.14
hsa-miR-375-3p,13.97,14.48
hsa-miR-376a-3p,0.02,0.0
hsa-miR-376c-3p,0.06,0.0
hsa-miR-377-5p,0.0,0.01
hsa-miR-378a-3p,3.23,1.88
hsa-miR-378c,0.3,0.2
hsa-miR-378d,1.81,0.61
hsa-miR-379-3p,0.06,0.09
hsa-miR-379-5p,6.91,5.77
hsa-miR-381-3p,13.29,7.08
hsa-miR-382-3p,1.02,0.46
hsa-miR-382-5p,13.29,1.07
hsa-miR-3909,0.02,0.14
hsa-miR-3916,0.07,0.12
hsa-miR-3927-3p,0.0,0.01
hsa-miR-3928-3p,0.33,0.0
hsa-miR-3929,0.0,0.09
hsa-miR-3934-5p,0.04,0.03
hsa-miR-3938,0.02,0.0
hsa-miR-3940-3p,0.0,0.01
hsa-miR-3940-5p,0.0,0.14
hsa-miR-3960,0.59,1.18
hsa-miR-409-3p,15.6,5.9
hsa-miR-409-5p,0.43,0.29
hsa-miR-410-3p,0.02,0.0
hsa-miR-410-5p,0.11,0.0
hsa-miR-411-3p,0.26,0.17
hsa-miR-411-5p,1.33,0.94
hsa-miR-412-5p,0.83,0.49
hsa-miR-421,0.02,0.04
hsa-miR-423-3p,17.17,48.05
hsa-miR-423-5p,22.3,156.05
hsa-miR-424-3p,0.26,0.74
hsa-miR-424-5p,0.0,0.03
hsa-miR-425-3p,0.07,0.06
hsa-miR-425-5p,1.26,1.28
hsa-miR-4286,0.0,0.01
hsa-miR-429,1.13,0.89
hsa-miR-4306,0.0,0.09
hsa-miR-431-3p,0.13,0.01
hsa-miR-431-5p,0.07,0.04
hsa-miR-432-5p,9.57,1.98
hsa-miR-4324,0.0,0.03
hsa-miR-4326,0.24,0.07
hsa-miR-433-3p,0.28,0.26
hsa-miR-4423-3p,0.0,0.01
hsa-miR-4429,0.07,0.01
hsa-miR-4435,0.02,0.01
hsa-miR-4440,0.02,0.0
hsa-miR-4443,0.5,0.53
hsa-miR-4444,0.0,0.01
hsa-miR-4450,0.04,0.0
hsa-miR-4463,0.0,0.1
hsa-miR-4466,0.04,0.03
hsa-miR-4481,0.07,0.0
hsa-miR-4484,0.26,0.0
hsa-miR-4485-3p,0.0,0.04
hsa-miR-4488,17.2,24.11
hsa-miR-4492,0.17,0.43
hsa-miR-4497,2.0,1.79
hsa-miR-449a,0.13,0.07
hsa-miR-449b-3p,0.02,0.0
hsa-miR-449b-5p,0.02,0.0
hsa-miR-449c-5p,1.85,2.29
hsa-miR-4508,5.99,4.26
hsa-miR-450a-2-3p,0.02,0.0
hsa-miR-450a-5p,0.54,0.17
hsa-miR-450b-5p,0.11,0.29
hsa-miR-4516,13.06,8.37
hsa-miR-451a,0.24,0.14
hsa-miR-452-3p,0.06,0.0
hsa-miR-452-5p,0.13,0.22
hsa-miR-4521,0.07,0.01
hsa-miR-4525,0.2,0.0
hsa-miR-454-3p,0.11,0.06
hsa-miR-454-5p,0.0,0.01
hsa-miR-455-3p,0.18,0.09
hsa-miR-455-5p,4.62,5.02
hsa-miR-4636,0.0,0.03
hsa-miR-4647,0.09,0.06
hsa-miR-4661-5p,0.02,0.04
hsa-miR-4664-3p,0.0,0.01
hsa-miR-4667-5p,0.0,0.12
hsa-miR-4669,0.0,0.01
hsa-miR-4677-3p,0.02,0.12
hsa-miR-4683,0.0,0.03
hsa-miR-4684-5p,0.0,0.01
hsa-miR-4690-3p,0.0,0.17
hsa-miR-4709-5p,0.02,0.0
hsa-miR-4721,0.0,0.09
hsa-miR-4723-3p,0.0,0.01
hsa-miR-4742-3p,0.0,0.03
hsa-miR-4745-5p,0.17,0.01
hsa-miR-4746-5p,0.02,0.0
hsa-miR-4750-5p,0.07,0.01
hsa-miR-4755-3p,0.18,0.06
hsa-miR-4762-3p,0.11,0.13
hsa-miR-4775,0.0,0.01
hsa-miR-4780,0.02,0.0
hsa-miR-4791,0.0,0.03
hsa-miR-4797-3p,0.0,0.06
hsa-miR-4800-3p,0.02,0.0
hsa-miR-4800-5p,0.28,0.14
hsa-miR-483-3p,0.15,0.2
hsa-miR-483-5p,4.42,5.7
hsa-miR-484,0.44,0.45
hsa-miR-485-3p,0.31,0.38
hsa-miR-485-5p,1.16,0.33
hsa-miR-486-3p,0.59,0.07
hsa-miR-486-5p,1.15,0.04
hsa-miR-487a-3p,0.02,0.0
hsa-miR-487a-5p,0.0,0.06
hsa-miR-487b-3p,0.26,0.07
hsa-miR-491-5p,0.02,0.0
hsa-miR-493-3p,5.77,2.39
hsa-miR-493-5p,2.18,2.44
hsa-miR-494-3p,1.46,0.72
hsa-miR-495-3p,2.03,0.85
hsa-miR-5003-3p,0.02,0.0
hsa-miR-500a-3p,0.07,0.12
hsa-miR-500b-5p,0.0,0.03
hsa-miR-501-3p,0.11,0.13
hsa-miR-501-5p,0.02,0.01
hsa-miR-5010-3p,0.02,0.0
hsa-miR-502-3p,0.02,0.1
hsa-miR-503-3p,0.0,0.04
hsa-miR-503-5p,0.18,0.32
hsa-miR-504-3p,1.83,0.13
hsa-miR-504-5p,0.26,0.38
hsa-miR-505-3p,0.09,0.16
hsa-miR-505-5p,0.3,0.07
hsa-miR-506-3p,0.09,0.01
hsa-miR-508-3p,0.06,0.03
hsa-miR-5089-3p,0.0,0.01
hsa-miR-509-3-5p,0.04,0.1
hsa-miR-509-3p,0.04,0.17
hsa-miR-511-5p,0.26,0.01
hsa-miR-513c-5p,0.0,0.01
hsa-miR-514a-3p,0.57,0.88
hsa-miR-516b-5p,0.02,0.03
hsa-miR-5191,0.0,0.01
hsa-miR-522-5p,0.0,0.01
hsa-miR-532-3p,0.02,0.03
hsa-miR-532-5p,4.86,5.22
hsa-miR-539-3p,0.02,0.01
hsa-miR-539-5p,0.17,0.03
hsa-miR-541-5p,0.0,0.01
hsa-miR-542-3p,0.04,0.01
hsa-miR-543,14.27,5.29
hsa-miR-548a-5p,0.06,0.0
hsa-miR-548am-3p,0.09,0.09
hsa-miR-548b-5p,0.0,0.01
hsa-miR-548bc,0.02,0.0
hsa-miR-548e-3p,0.02,0.03
hsa-miR-548f-3p,0.02,0.01
hsa-miR-548o-3p,0.52,0.39
hsa-miR-550a-3-5p,0.02,0.14
hsa-miR-550a-5p,0.28,0.01
hsa-miR-551b-5p,0.13,0.0
hsa-miR-552-3p,0.0,0.01
hsa-miR-556-5p,0.02,0.0
hsa-miR-574-3p,0.15,0.3
hsa-miR-574-5p,2.73,7.3
hsa-miR-576-3p,0.87,0.27
hsa-miR-576-5p,0.0,0.12
hsa-miR-577,0.0,0.01
hsa-miR-581,0.0,0.01
hsa-miR-582-3p,0.09,0.36
hsa-miR-584-5p,0.0,0.23
hsa-miR-585-3p,0.0,0.04
hsa-miR-588,0.02,0.0
hsa-miR-589-5p,0.11,0.61
hsa-miR-590-3p,0.02,0.01
hsa-miR-590-5p,0.02,0.0
hsa-miR-597-3p,0.06,0.03
hsa-miR-598-3p,0.02,0.03
hsa-miR-615-3p,0.28,0.19
hsa-miR-615-5p,0.02,0.0
hsa-miR-618,0.2,0.04
hsa-miR-619-5p,0.33,0.1
