miRNA,GSM2208752,GSM2208753,GSM2208754,GSM2208755,GSM2208756
hsa-miR-181b-5p,206.4,265.2,320.45,254.67,114.75
hsa-miR-181c-3p,1.29,0.59,0.9,1.26,0.0
hsa-miR-181c-5p,0.3,0.51,0.41,1.79,0.03
hsa-miR-181d-3p,0.41,0.0,0.04,0.0,0.0
hsa-miR-181d-5p,11.58,12.48,10.95,9.14,3.96
hsa-miR-182-5p,6.53,8.24,13.64,3.91,3.79
hsa-miR-1827,0.04,0.0,0.04,0.06,0.0
hsa-miR-183-5p,1.96,2.08,3.87,1.2,2.88
hsa-miR-184,1.77,0.47,3.13,0.41,0.0
hsa-miR-1843,4.24,3.45,5.25,3.88,3.76
hsa-miR-185-3p,0.52,0.9,0.45,0.38,0.0
hsa-miR-185-5p,39.36,24.53,32.69,47.88,11.35
hsa-miR-186-5p,128.23,198.31,312.19,242.16,56.38
hsa-miR-187-3p,0.22,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.3,0.16,0.24,0.53,0.03
hsa-miR-18a-3p,4.83,2.39,2.97,2.38,0.62
hsa-miR-18a-5p,6.6,3.61,6.11,3.47,0.82
hsa-miR-18b-3p,0.0,0.04,0.0,0.0,0.0
hsa-miR-18b-5p,0.85,0.27,0.53,0.76,0.0
hsa-miR-1908-3p,0.81,0.04,0.2,0.09,0.23
hsa-miR-1908-5p,0.26,0.31,0.65,0.44,1.64
hsa-miR-1909-3p,0.0,0.04,0.0,0.0,0.0
hsa-miR-1909-5p,0.0,0.08,0.2,0.0,0.0
hsa-miR-190a-5p,0.0,0.04,0.04,0.0,0.0
hsa-miR-190b-5p,0.41,0.04,0.12,0.23,0.13
hsa-miR-191-3p,0.74,0.59,0.77,0.97,0.0
hsa-miR-191-5p,577.75,332.64,534.29,232.96,98.33
hsa-miR-1910-5p,0.26,0.0,0.12,0.0,0.0
hsa-miR-1914-5p,0.07,0.0,0.0,0.0,0.0
hsa-miR-192-5p,38.96,26.69,32.85,16.92,24.89
hsa-miR-193a-3p,0.0,0.04,0.04,0.29,0.0
hsa-miR-193a-5p,3.25,1.26,1.55,3.2,3.34
hsa-miR-193b-3p,37.96,20.45,39.0,46.97,12.03
hsa-miR-193b-5p,37.0,10.64,20.35,42.0,19.62
hsa-miR-194-3p,0.22,0.08,0.0,0.0,0.0
hsa-miR-194-5p,4.21,3.89,4.56,1.47,0.62
hsa-miR-195-3p,2.77,0.12,1.02,1.2,0.36
hsa-miR-195-5p,0.0,0.16,0.12,0.23,0.0
hsa-miR-196a-5p,1.14,2.43,11.76,14.22,0.0
hsa-miR-196b-5p,0.0,0.04,0.0,0.0,0.0
hsa-miR-197-3p,5.09,2.98,5.13,3.14,2.09
hsa-miR-197-5p,0.15,0.0,0.37,0.18,0.0
hsa-miR-1976,0.15,0.0,0.28,0.59,0.0
hsa-miR-199a-3p,0.96,1.69,4.52,1.73,0.13
hsa-miR-199a-5p,0.3,0.39,0.61,0.12,0.0
hsa-miR-199b-3p,0.07,0.43,0.98,2.32,0.26
hsa-miR-199b-5p,0.55,0.63,1.26,0.18,0.0
hsa-miR-19a-3p,5.68,7.14,11.48,8.43,1.41
hsa-miR-19a-5p,0.04,0.0,0.12,0.06,0.0
hsa-miR-19b-1-5p,0.15,0.0,0.2,0.0,0.0
hsa-miR-19b-2-5p,0.0,0.0,0.08,0.0,0.0
hsa-miR-19b-3p,15.01,9.93,26.54,14.95,2.81
hsa-miR-200a-3p,2.66,2.87,10.22,3.17,1.18
hsa-miR-200a-5p,1.25,1.49,1.34,0.68,0.95
hsa-miR-200b-3p,6.82,6.44,12.58,4.49,0.82
hsa-miR-200b-5p,0.22,0.27,0.24,0.0,0.0
hsa-miR-200c-3p,5.5,6.63,6.15,4.55,3.14
hsa-miR-203a-3p,1.36,0.27,1.79,0.88,2.32
hsa-miR-204-3p,0.04,0.24,0.53,0.0,0.0
hsa-miR-204-5p,0.0,0.0,0.24,0.0,0.0
hsa-miR-206,0.0,0.08,0.41,0.0,0.0
hsa-miR-208b-3p,0.0,0.12,0.16,0.35,0.0
hsa-miR-20a-3p,1.4,0.51,1.18,0.68,0.92
hsa-miR-20a-5p,525.32,273.96,351.63,562.1,101.73
hsa-miR-20b-3p,0.0,0.12,0.08,0.06,0.0
hsa-miR-20b-5p,0.0,3.38,0.33,0.82,0.0
hsa-miR-21-3p,27.48,10.05,16.77,36.83,9.06
hsa-miR-21-5p,17300.56,6693.41,14837.8,10586.69,3855.78
hsa-miR-210-3p,2.25,4.99,3.66,4.23,0.98
hsa-miR-210-5p,1.25,0.47,0.24,0.44,0.0
hsa-miR-211-3p,0.0,0.04,0.0,0.0,0.0
hsa-miR-2110,1.44,0.75,0.98,2.11,1.28
hsa-miR-2116-3p,0.04,0.2,0.08,0.03,0.0
hsa-miR-212-3p,0.0,0.04,0.12,0.18,0.0
hsa-miR-212-5p,0.18,0.12,0.49,0.23,0.49
hsa-miR-214-3p,0.0,0.04,0.0,0.0,0.0
hsa-miR-215-5p,1.51,0.86,1.75,1.53,0.62
hsa-miR-216b-3p,0.0,0.0,0.0,0.0,0.03
hsa-miR-216b-5p,0.04,0.0,0.0,0.0,0.0
hsa-miR-217-5p,0.07,0.0,0.0,0.0,0.0
hsa-miR-218-5p,0.0,0.04,0.49,0.0,0.0
hsa-miR-219a-1-3p,0.7,0.55,0.77,1.41,0.88
hsa-miR-22-3p,20.7,14.29,45.02,107.13,26.85
