miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-29b-2-5p,3.72,0.0,10.31,0.0,0.0,0.0,0.0,2.03,0.0
hsa-miR-29b-3p,18.6,6.45,14.18,0.0,0.0,0.0,8.86,10.14,5.71
hsa-miR-29c-3p,2176.2,458.0,241.09,0.0,0.0,0.0,89.4,12.16,19.03
hsa-miR-29c-5p,18.6,6.45,14.18,0.0,0.0,0.0,3.22,0.0,1.9
hsa-miR-301a-3p,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-301b-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3064-5p,26.04,9.68,1.29,0.0,0.0,0.0,8.86,0.0,0.0
hsa-miR-3065-3p,0.0,3.23,0.0,0.0,0.0,0.0,8.86,0.0,0.0
hsa-miR-3065-5p,137.64,116.11,194.68,0.0,0.0,0.0,134.51,0.0,89.43
hsa-miR-30a-3p,22.32,9.68,2.58,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-30a-5p,970.92,2999.55,394.51,673.61,178.3,0.0,1049.48,265.56,247.35
hsa-miR-30b-5p,1037.88,83.86,48.99,0.0,0.0,0.0,213.44,10.14,5.71
hsa-miR-30c-5p,133.92,45.15,29.65,0.0,0.0,0.0,66.85,6.08,13.32
hsa-miR-30d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-30d-5p,3976.68,6105.55,6260.67,612.37,386.31,0.0,4272.0,2479.2,9502.23
hsa-miR-30e-3p,0.0,0.0,3.87,0.0,0.0,0.0,6.44,0.0,0.0
hsa-miR-30e-5p,2444.04,2180.32,447.37,61.24,0.0,0.0,289.15,99.33,100.84
hsa-miR-3144-3p,3.72,51.61,0.0,0.0,0.0,0.0,4.03,2.03,0.0
hsa-miR-3148,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3162-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-3168,0.0,0.0,0.0,0.0,0.0,14.24,0.0,2.03,1.9
hsa-miR-3174,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
